,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
77,Ismaily,607,Lille,33,D,21(2),1785,1,0.9,42.5,81.0,0.1,0.5,0.0,6.83,2,0,0,0.6,1.6,0,0.7,1.0,0.1,1.3,1.1,1.8,0.9,0.6,0.3,1.4,0.7,0.2,0
78,Corentin Tolisso,228,Lyon,28,D,25(5),2050,2,1.1,63.6,88.8,0.4,4.6,0.3,6.82,1,3,0,1.0,1.2,1,0.2,1.3,0.0,0.6,0.7,1.5,0.8,0.9,0.0,0.7,1.4,0.2,0
81,Hamari Traoré,313,Rennes,31,D,28(3),2531,4,0.7,51.2,87.0,0.5,2.1,0.1,6.82,1,5,0,1.0,1.1,0,0.3,0.2,0.1,0.3,0.8,1.5,1.2,1.1,0.2,1.9,0.8,0.2,0
82,Sergio Ramos,304,Paris Saint-Germain,37,D,31(2),2709,1,0.1,75.5,94.8,0.1,4.8,0.0,6.82,2,3,1,0.6,1.7,0,0.2,0.7,0.1,0.2,0.2,1.0,1.0,1.1,0.5,2.8,0.6,0.4,0
83,Jordan Lotomba,613,Nice,24,D,27(6),2456,2,0.5,34.7,85.2,0.4,0.6,0.1,6.82,0,4,0,0.4,0.8,2,1.2,0.9,0.0,0.7,1.2,2.0,1.0,0.7,0.2,1.4,0.5,0.3,0
84,Chancel Mbemba,249,Marseille,28,D,32(4),2850,0,0.1,46.2,84.4,0.2,1.8,0.0,6.82,5,2,0,0.8,2.0,1,0.4,0.5,0.0,0.3,0.7,1.2,1.2,0.5,0.1,2.4,0.3,0.3,0
88,Mikkel Desler,246,Toulouse,28,D,26(1),2262,2,0.6,48.8,86.2,0.3,1.3,0.0,6.8,1,4,1,0.4,0.9,1,1.0,1.2,0.2,0.6,1.5,2.6,1.3,1.0,0.0,1.7,0.9,0.2,0
89,Facundo Medina,309,Lens,24,D,32,2784,4,0.5,76.8,90.8,0.3,3.0,0.1,6.8,2,7,0,0.6,1.2,1,0.8,0.6,0.0,0.7,0.7,1.0,0.8,1.1,0.2,1.8,0.7,0.3,0
92,Brendan Chardonnet,2332,Brest,28,D,27(3),2489,0,0.3,43.5,80.8,0.1,4.9,0.0,6.79,0,6,0,0.5,3.1,0,0.1,0.9,0.0,0.1,0.2,1.5,2.1,1.3,0.3,2.8,0.6,0.6,1
93,Montassar Talbi,146,Lorient,25,D,38,3420,2,0.1,51.7,89.1,0.0,1.8,0.0,6.79,1,0,0,0.2,2.4,1,0.2,0.7,0.0,0.2,0.4,1.4,1.1,0.4,0.4,4.8,0.3,0.9,0
95,Alexsandro Ribeiro,607,Lille,23,D,16(5),1611,0,0.1,60.1,90.8,0.0,2.5,0.0,6.79,3,4,0,0.8,1.5,2,0.7,1.0,0.1,0.2,0.5,1.5,1.2,0.9,1.0,2.7,0.4,0.1,0
97,Emmanuel Agbadou,950,Reims,26,D,27(2),2390,3,0.4,51.1,86.0,0.0,3.7,0.2,6.79,0,5,3,0.8,2.1,1,0.3,0.2,0.0,0.4,0.8,2.4,1.1,1.0,0.2,3.6,0.8,0.5,1
99,Jean-Clair Todibo,613,Nice,23,D,33(1),2873,0,0.1,63.8,88.9,0.0,3.1,0.0,6.79,0,2,2,0.4,1.1,1,0.6,0.4,0.0,0.3,0.7,2.2,1.2,0.6,0.5,3.1,0.4,0.6,0
106,Danilo Pereira,304,Paris Saint-Germain,31,D,27(6),2411,0,0.1,61.8,94.6,0.0,2.5,0.0,6.76,2,3,0,0.7,1.0,0,0.3,0.4,0.0,0.3,0.4,1.0,1.1,0.5,0.4,1.8,0.2,0.6,0
107,Guillermo Maripán,248,Monaco,29,D,25(1),2160,0,0.1,44.6,87.5,0.0,3.0,0.0,6.76,3,4,1,0.6,1.8,1,0.0,0.3,0.0,0.2,0.3,1.8,1.5,1.0,0.4,3.2,0.6,1.0,1
108,Nordi Mukiele,304,Paris Saint-Germain,25,D,12(7),1133,3,0.5,31.7,88.4,0.1,0.6,0.0,6.76,0,0,0,0.6,1.1,1,0.3,0.7,0.1,0.6,0.6,1.6,0.7,0.8,0.1,0.8,0.5,0.5,0
109,Melvin Bard,613,Nice,22,D,28(5),2460,0,0.3,37.3,82.3,0.3,1.2,0.0,6.75,0,6,0,0.2,1.0,0,0.7,0.6,0.1,0.5,0.7,2.9,1.9,0.9,0.2,1.0,0.9,0.1,0
110,Sinaly Diomandé,228,Lyon,22,D,22(2),1959,0,0.1,58.8,85.6,0.0,2.4,0.0,6.75,0,2,1,0.4,2.3,0,0.4,0.9,0.0,0.2,0.8,1.8,2.0,1.0,0.5,2.9,0.8,0.5,0
111,Alidu Seidu,941,Clermont Foot,23,D,28,2463,0,0.3,43.7,86.8,0.2,2.2,0.0,6.75,0,10,1,0.2,0.9,0,1.1,2.5,0.0,0.5,1.2,1.9,1.9,1.2,0.1,1.7,0.7,0.5,0
112,Faitout Maouassa,311,Montpellier,24,D,23(10),1935,5,0.7,14.3,69.7,0.7,0.5,0.0,6.75,5,0,0,1.0,0.4,0,0.8,0.9,0.1,0.7,1.0,1.6,0.6,1.0,0.0,0.5,0.7,0.1,0
113,Sead Kolasinac,249,Marseille,30,D,26(7),2219,1,0.3,38.3,86.3,0.2,0.8,0.0,6.74,4,3,0,0.7,1.2,2,0.1,0.5,0.1,0.2,0.8,1.6,1.3,1.3,0.1,1.1,0.4,0.1,0
115,Christopher Jullien,311,Montpellier,30,D,30,2696,2,0.2,35.3,83.1,0.0,2.7,0.0,6.74,0,5,0,0.6,2.9,0,0.2,0.2,0.1,0.1,0.5,1.5,1.4,1.1,0.2,3.7,0.8,0.6,0
118,Castello Lukeba,228,Lyon,20,D,33(1),2986,0,0.1,65.9,90.4,0.1,2.1,0.0,6.73,2,7,1,0.4,1.1,0,0.3,0.6,0.0,0.2,0.6,1.1,2.2,1.1,0.8,3.0,0.3,0.7,1
119,Mama Baldé,229,Troyes,27,D,30(4),2672,3,0.6,16.7,68.1,0.1,0.6,0.0,6.73,12,4,2,2.2,1.3,3,1.6,1.4,0.6,2.0,3.6,1.4,0.3,1.1,0.0,0.4,0.4,0.1,0
120,Gideon Mensah,308,Auxerre,24,D,26,2263,0,1.0,44.2,79.6,0.6,2.5,0.1,6.73,0,5,0,0.2,0.8,2,1.0,0.7,0.0,0.5,1.7,3.1,1.5,1.1,0.2,1.5,1.3,0.4,0
122,Jubal,308,Auxerre,29,D,35(2),3216,1,0.1,36.2,81.9,0.1,3.8,0.0,6.73,3,7,0,0.5,2.1,2,0.1,0.6,0.1,0.1,0.6,1.1,1.4,1.0,0.8,5.1,0.5,0.9,0
123,Leonardo Balerdi,249,Marseille,24,D,30(5),2643,1,0.1,46.9,84.1,0.0,3.1,0.0,6.73,0,9,1,0.3,2.0,0,0.3,0.6,0.0,0.1,0.7,1.6,1.8,1.5,0.2,2.5,0.4,0.8,1
124,Quentin Merlin,302,Nantes,21,D,22(2),1803,2,1.4,37.3,77.9,1.2,2.6,0.0,6.73,1,2,0,0.6,0.7,1,0.9,0.6,0.0,0.4,1.0,1.3,1.0,0.5,0.1,1.0,0.8,0.2,0
129,Marquinhos,304,Paris Saint-Germain,29,D,30(3),2718,0,0.3,65.2,95.4,0.0,1.9,0.0,6.72,2,4,0,0.5,1.1,0,0.0,0.3,0.0,0.2,0.4,1.0,0.7,0.4,0.3,2.4,0.2,0.8,1
