,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Celta Vigo,10.7,18.3,9.9,13.3,2.2
1,Real Betis,11.4,17.4,9.5,12.8,1.9
2,Cadiz,12.5,17,10.9,12.8,1.8
3,Atletico Madrid,9.4,16.7,9.6,12.4,2.2
4,Rayo Vallecano,10.9,16.3,9.6,14.1,2.2
5,Granada,14.8,16.1,8.6,12.6,1.6
6,Mallorca,12.3,16,9.1,14.6,1.8
7,Valencia,11.7,15.6,8.9,16.9,1.4
8,Elche,13.7,15.5,8,13.6,1.9
9,Barcelona,9.3,15.4,8.6,13.1,2.6
10,Getafe,10.8,15.4,10.6,14.7,1.4
11,Real Sociedad,11,15.4,9.2,12.9,2
12,Osasuna,11.7,15.2,9.7,13.1,1.7
13,Real Madrid,11.4,14.7,8.8,10.4,2.8
14,Levante,13.5,14.7,9.9,14.5,2
15,Espanyol,13.2,14.7,8.6,11.6,1.8
16,Deportivo Alaves,13.6,14.5,9.9,13.9,1.9
17,Villarreal,10.9,14.2,8.7,12.4,2.4
18,Sevilla,11.2,14.1,7.1,12.2,2.1
19,Athletic Club,11.7,13.4,8.9,12.8,2.3
