,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Lille,38,24,11,3,64,23,41,83,64,12.8,67,2,52.6,83.5,15.8,6.82,8.9,17.2,11.2,12.8,1.7,12.8,4.8,10.7,11.8
1,Paris Saint-Germain,38,26,4,8,86,28,58,82,86,15.0,73,7,60.1,89.5,9.5,6.88,10.0,16.0,9.8,12.2,1.7,15.0,5.7,12.9,11.3
2,Monaco,38,24,6,8,76,42,34,78,76,12.8,74,7,54.2,82.7,16.5,6.73,8.6,19.3,11.5,12.8,1.8,12.8,4.6,8.1,12.4
3,Lyon,38,22,10,6,81,43,38,76,81,16.1,60,10,53.6,84.7,14.3,6.8,11.6,15.4,10.9,12.7,1.7,16.1,6.2,12.6,11.6
4,Marseille,38,16,12,10,54,47,7,60,54,10.0,94,9,19.6,82.0,14.9,6.63,11.7,17.2,11.6,13.2,1.4,10.0,3.6,8.4,12.4
5,Rennes,38,16,10,12,52,40,12,58,52,13.5,80,5,56.8,85.6,16.9,6.69,9.7,15.4,9.5,13.2,0.9,13.5,4.3,10.7,12.8
6,Lens,38,15,12,11,55,54,1,57,55,11.7,84,7,51.1,81.8,17.4,6.64,10.8,15.8,13.4,14.2,1.3,11.7,3.8,9.6,12.2
7,Montpellier,38,14,12,12,60,62,-2,54,60,12.2,65,7,46.4,78.8,17.9,6.63,14.7,13.9,11.1,13.5,1.3,12.2,4.6,7.9,11.9
8,Nice,38,15,7,16,50,53,-3,52,50,10.8,69,4,53.4,85.6,10.5,6.63,13.3,15.8,11.4,12.1,1.1,10.8,3.8,11.6,11.5
9,Metz,38,12,11,15,44,48,-4,47,44,11.5,82,4,46.9,79.8,16.1,6.66,12.6,18.0,15.0,13.6,1.3,11.5,3.7,10.0,12.5
10,Saint-Etienne,38,12,10,16,42,54,-12,46,42,11.6,76,2,49.0,79.3,16.4,6.59,10.8,18.8,12.4,13.9,1.3,11.6,4.0,11.4,12.9
11,Bordeaux,38,13,6,19,42,56,-14,45,42,11.1,74,4,25.2,83.3,15.4,6.59,12.4,14.9,13.2,12.2,1.3,11.1,3.7,10.3,12.6
12,Angers,38,12,8,18,40,58,-18,44,40,10.7,63,2,47.1,81.3,13.2,6.53,10.4,16.5,11.7,12.1,1.0,10.7,3.8,10.2,12.7
13,Reims,38,9,15,14,42,50,-8,42,42,9.6,75,8,22.6,80.7,13.4,6.6,13.5,17.3,12.8,11.6,1.6,9.6,3.3,9.7,10.9
14,Strasbourg,38,11,9,18,49,58,-9,42,49,11.3,56,3,46.5,78.3,18.3,6.61,10.1,16.7,13.7,13.1,1.0,11.3,3.8,7.9,10.8
15,Lorient,38,11,9,18,50,68,-18,42,50,11.2,67,3,45.9,78.8,13.7,6.54,12.2,19.0,13.9,12.5,1.2,11.2,3.7,9.5,12.3
16,Brest,38,11,8,19,50,66,-16,41,50,11.8,60,4,49.4,81.3,18.6,6.64,12.8,16.0,12.3,12.9,1.6,11.8,4.2,10.1,11.4
17,Nantes,38,9,13,16,47,55,-8,40,47,10.8,68,4,21.9,77.0,18.1,6.62,12.1,18.3,12.2,13.5,1.4,10.8,3.4,9.9,13.1
18,Nimes,38,9,8,21,40,71,-31,35,40,10.3,57,5,45.8,77.5,14.0,6.52,13.7,16.4,13.2,11.1,1.3,10.3,3.7,8.4,14.0
19,Dijon,38,4,9,25,25,73,-48,21,25,9.2,75,5,46.9,80.0,14.3,6.42,14.1,15.8,12.4,13.6,1.4,9.2,2.4,10.1,11.1
