,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,38,29,4,5,105,35,70,91,105,14.8,64,4,60.4,88.9,11.0,7.05,10.5,18.4,9.0,12.5,2.4,14.8,6.1,11.9,11.7
1,Lille,38,22,9,7,68,33,35,75,68,13.1,70,4,51.1,81.1,15.4,6.84,9.9,16.5,10.2,12.6,1.0,13.1,5.1,9.6,13.4
2,Lyon,38,21,9,8,70,47,23,72,70,17.7,53,3,58.2,85.9,16.6,6.91,12.6,16.8,9.6,11.7,2.5,17.7,6.6,12.2,12.3
3,Saint-Etienne,38,19,9,10,59,41,18,66,59,13.1,59,7,30.6,81.1,16.6,6.78,12.4,17.7,11.6,11.9,1.6,13.1,4.7,8.3,12.0
4,Marseille,38,18,7,13,60,52,8,61,60,13.9,82,8,53.5,82.4,18.9,6.78,10.5,20.5,10.6,13.2,1.2,13.9,4.5,9.4,12.0
5,Montpellier,38,15,14,9,53,42,11,59,53,13.4,59,4,48.3,78.5,20.3,6.81,11.9,20.0,12.8,14.1,1.5,13.4,4.5,8.0,12.6
6,Nice,38,15,11,12,30,35,-5,56,30,11.6,71,5,54.6,86.0,14.3,6.76,13.1,17.4,11.8,11.2,1.1,11.6,3.4,13.3,13.6
7,Reims,38,13,16,9,39,42,-3,55,39,10.7,67,2,45.1,75.9,17.9,6.72,11.8,20.0,12.8,14.0,2.1,10.7,3.6,8.4,12.3
8,Nimes,38,15,8,15,57,58,-1,53,57,13.7,68,5,46.7,74.4,19.2,6.75,12.8,19.3,11.7,12.8,1.1,13.7,4.7,9.6,13.0
9,Rennes,38,13,13,12,55,52,3,52,55,12.4,66,3,50.7,81.2,17.1,6.73,12.6,17.2,10.2,12.9,1.6,12.4,4.2,10.3,12.8
10,Strasbourg,38,11,16,11,58,48,10,49,58,10.6,69,4,49.8,80.5,17.3,6.73,13.1,17.1,11.3,13.5,1.1,10.6,4.1,7.5,10.6
11,Nantes,38,13,9,16,48,48,0,48,48,13.6,70,6,49.8,76.7,21.2,6.71,10.7,20.2,11.4,13.0,2.0,13.6,3.9,7.4,13.1
12,Angers,38,10,16,12,44,49,-5,46,44,11.9,49,4,19.2,79.2,16.8,6.7,12.1,17.7,11.1,11.8,1.3,11.9,4.1,8.3,11.7
13,Bordeaux,38,10,11,17,34,42,-8,41,34,11.2,75,5,22.3,80.3,18.1,6.67,13.1,18.9,10.3,14.3,1.6,11.2,3.6,9.1,13.1
14,Amiens,38,9,11,18,31,52,-21,38,31,10.2,56,6,47.3,75.9,19.5,6.57,13.2,16.6,10.3,13.7,1.7,10.2,3.1,6.7,13.7
15,Toulouse,38,8,14,16,35,57,-22,38,35,11.4,73,5,48.7,77.8,19.7,6.62,15.0,17.6,10.1,14.7,1.8,11.4,3.5,9.6,12.3
16,Monaco,38,8,12,18,38,57,-19,36,38,12.3,89,7,49.7,80.5,16.8,6.61,11.3,18.1,10.2,13.9,1.4,12.3,4.2,7.7,13.3
17,Dijon,38,9,7,22,31,60,-29,34,31,12.0,71,7,48.3,78.2,19.2,6.59,14.3,17.7,12.7,15.1,1.6,12.0,3.8,9.2,11.7
18,Caen,38,7,12,19,29,54,-25,33,29,8.8,75,6,45.8,76.4,21.1,6.59,14.3,18.7,12.9,14.7,1.3,8.8,2.5,7.1,13.2
19,Guingamp,38,5,12,21,28,68,-40,27,28,10.9,58,5,45.4,75.2,21.3,6.55,12.3,18.0,11.0,12.8,1.4,10.9,3.0,9.3,12.2
