,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Karim Benzema,38.1,85.2,0.1,1,0.1
1,Vinícius Júnior,35.1,85.9,0.3,1.2,0.1
2,Ousmane Dembélé,31.7,84.4,1.4,1.1,0.3
3,Nabil Fekir,38.8,86.4,1.8,1.3,0.2
4,Casemiro,61.3,86,0.1,5.5,0.2
5,Joselu,28.4,61.1,0.1,0.6,0.1
6,Iker Muniain,39.2,84.8,1.5,1.5,0.1
7,Iago Aspas,33.4,75.5,0.4,1.3,0.1
8,Dani Parejo,60.3,87.6,1.6,4.2,0.2
9,Mikel Merino,50.8,77.6,0.2,2.4,0.2
10,Memphis Depay,28.9,82.1,1.3,0.6,-
11,Yannick Carrasco,30.1,80.6,1.2,0.7,0.1
12,Sergio Busquets,76.9,87.6,0.1,5.6,0.1
13,Raúl de Tomás,21.2,83.9,0.1,1.8,-
14,Luka Modric,58.5,90.1,0.4,3.8,0.2
15,Javi Galán,43.9,81.9,0.8,2,-
16,Mathías Olivera,32.9,71.8,0.4,1,-
17,Óscar Trejo,28.6,82.2,1.2,1.1,0.1
18,Gonçalo Guedes,20.4,68.5,0.9,1,0.1
19,Jordi Alba,79.7,86.6,0.8,3.3,0.2
20,Toni Kroos,76.8,94.9,0.7,7.8,0.1
21,Gabriel Paulista,33.5,77.7,-,3.7,-
22,Éder Militão,58.6,89.3,-,3.8,0.1
23,Ferland Mendy,53.9,92,0.2,1.2,-
24,Étienne Capoue,43.8,88.4,-,1.9,0.1
25,José Luís Morales,17.9,72.8,0.7,0.8,0.1
26,Marcos Acuña,50,84.2,1.5,3.7,0.1
27,Marc Bartra,48.7,82.4,-,3.6,-
28,Iñigo Martínez,44.2,79.2,0.1,4.5,-
29,Juan Foyth,38.9,84.3,-,1.5,-
30,David García,41.7,80,-,3.5,-
31,Enes Ünal,17.1,61.5,0.1,0.2,-
32,Sergio Canales,52.6,85,0.4,3.1,0.3
33,Pablo Maffeo,26.2,70.4,0.8,0.9,-
34,Mauro Arambarri,36.9,77.6,1.4,4,-
35,Juanmi,14.5,78.1,-,0.5,-
36,Gerard Piqué,62.1,90,-,4.4,-
37,Carlos Soler,25.8,74.4,1.3,1.7,0.1
38,Guido Rodríguez,45.3,85.5,-,3.1,-
39,Lucas Torró,38.5,77.8,-,1.5,-
40,Álex Moreno,34.9,76.2,0.4,1,-
41,Jules Koundé,65.6,88.9,0.2,3.9,-
42,Arnaut Danjuma,15.1,77,0.3,0.3,-
43,Frenkie de Jong,51.2,91.3,0.2,2.3,0.2
44,João Félix,17.5,75,0.1,1,0.2
45,Lucas Boyé,17.3,73.4,-,0.5,-
46,Mikel Oyarzabal,23.2,74.8,1.2,0.6,-
47,David Silva,40.6,88.1,0.6,1.1,0.1
48,Marco Asensio,25.9,87.7,0.4,0.9,-
49,Germán Pezzella,44.5,87.4,-,1,-
50,Héctor Bellerín,35.7,77.8,0.5,1.1,-
51,Alfonso Pedraza,26.1,77.2,0.6,0.7,-
52,Robin Le Normand,58.2,88,-,3.4,-
53,Érik Lamela,23.4,86.3,0.2,0.6,0.2
54,Pau Torres,60,85.8,-,4.2,-
55,Santi Comesaña,41.8,82.7,0.1,2.5,0.1
56,Dani Carvajal,42,87.4,0.4,1.8,-
57,Sergi Darder,45.8,85.4,0.4,3.8,0.1
58,Ronald Araujo,53.6,90.2,0.1,2.8,-
59,Luis Milla,38.9,83.6,1.2,2.7,0.1
60,Brais Méndez,39.5,80.3,0.2,2,0.1
61,Ivan Rakitic,44.5,85.9,0.8,3.3,-
62,José Giménez,38.5,88.6,-,3.1,-
63,Eduardo Camavinga,32.4,90,-,2,0.1
64,Yeray Álvarez,46,82,-,3.6,-
65,Alfonso Espino,34.4,64.4,0.8,2.2,0.1
66,Santi Mina,19.2,66.7,-,0.8,0.1
67,Geoffrey Kondogbia,35.5,86,-,2.6,-
68,Álvaro García,22.9,70.2,1.2,0.8,-
69,Thomas Lemar,28.3,85.3,1,1.2,-
70,Rodrigo De Paul,35.8,81.9,0.9,2.8,0.3
71,Conan Ledesma,27.2,47.4,-,7.7,-
72,Dani Vivian,39.3,83.4,-,3.8,-
73,Antoine Griezmann,25.3,80.7,0.2,0.7,0.1
74,Stefan Savic,49.1,82.3,-,3.8,-
75,William Carvalho,39.8,88,-,2.3,0.1
76,Alejandro Catena,47.6,81.3,-,6.1,-
77,Thibaut Courtois,26.3,79.2,-,3.1,-
78,Omar Alderete,32.8,60.8,-,4.1,-
79,Gavi,35.2,89.3,0.2,1,0.2
80,Samuel Chukwueze,16.3,75.2,0.1,0.4,0.1
81,Nacho Vidal,31.1,71,0.3,2.1,-
82,Denis Suárez,50.2,83.6,0.8,2.4,0.2
83,Diego López,26.4,68.6,-,5.3,-
84,Alex Berenguer,21.1,71.5,0.9,0.5,0.1
85,Edgar Badia,30.1,63.9,-,8.5,-
86,Aritz Elustondo,37.9,83.8,-,2.3,-
87,Lucas Ocampos,24.1,82.3,0.5,1,-
88,Óscar De Marcos,39.4,74.2,0.4,1.6,-
89,Yassine Bounou,30.8,74,-,6,-
90,Sergiño Dest,38.9,92.4,0.3,0.7,-
