,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,38.3,82.2,0.6,1.2,0.1
1,Lionel Messi,61.7,86.7,0.3,3.1,0.7
2,Neymar,55.5,82.2,0.5,1.7,0.5
3,Benjamin Bourigeaud,42.1,76.9,2.7,2.7,0.1
4,Dimitri Payet,45.5,81.8,2.3,2.6,0.5
5,Martin Terrier,24.9,81.1,0.2,1,0.1
6,Téji Savanier,47.5,72.4,1.6,5.5,0.2
7,Aurélien Tchouaméni,58.9,86.7,0.1,3.1,0.1
8,Sofiane Boufal,30.9,78.3,1.2,1.2,0.1
9,Lucas Paquetá,43.3,79.6,0.2,1.5,0.3
10,Jonathan Clauss,33.3,73.3,2.1,1.5,0.1
11,Marco Verratti,87.3,91.6,0.1,2.7,0.2
12,Bruno Guimarães,66.5,88,0.3,4.7,0.3
13,Moussa Dembélé,14.4,66.1,-,0.1,-
14,Romain Faivre,35,83.3,1.9,1.2,0.1
15,Ángel Di María,39.7,80.3,1.3,1.8,0.2
16,Karl Toko-Ekambi,29,80.6,0.5,0.8,0.1
17,Gaëtan Laborde,18.4,65.7,0.4,0.2,0.1
18,Andrei Girotto,46,81.6,-,3,-
19,Franck Honorat,28.7,74.5,1.6,1.2,0.1
20,Andy Delort,19.8,61.1,0.3,0.4,0.1
21,Lovro Majer,33,81,0.8,1.6,0.1
22,Ludovic Ajorque,24.6,72.9,0.2,0.7,0.1
23,Wissam Ben Yedder,18.1,73.5,0.1,0.4,0.1
24,Kiki Kouyaté,38.3,81.4,-,2.5,-
25,Frédéric Guilbert,29.9,75.5,2,1.5,-
26,Amine Gouiri,24.7,80.4,0.7,0.9,0.1
27,Moses Simon,20.1,75,1.7,0.6,-
28,Randal Kolo Muani,14.1,70.1,0.2,0.1,-
29,Hamari Traoré,54.6,84.9,0.5,2.6,-
30,Kamaldeen Sulemana,16,80.3,0.4,1.3,-
31,Benjamin André,52.4,80.4,0.1,2.5,0.1
32,Jimmy Cabot,45.6,80.9,0.5,3.1,-
33,Florian Sotoca,32.5,78.2,0.2,2.2,0.1
34,Florian Tardieu,63.1,86.5,1.2,5,0.1
35,Marshall Munetsi,27.9,79.7,-,2,-
36,Adrien Thomasson,39.5,78.8,0.4,1.4,0.2
37,Seko Fofana,45.8,89.8,0.2,1.7,-
38,Ludovic Blas,28.6,80.9,0.4,2.3,0.1
39,Cheick Doucouré,55.7,87.5,-,2.4,0.2
40,Houssem Aouar,39.1,86.9,0.1,1.2,0.2
41,Jonas Omlin,30.7,74.6,-,5.9,-
42,Danilo Pereira,57.1,94.6,-,2.4,0.1
43,Achraf Hakimi,49.9,90.4,0.3,0.9,-
44,Fabien Centonze,31.2,80.1,0.3,1,-
45,Emerson,53.1,86.7,0.8,1.8,-
46,Boubacar Kamara,70.1,90.6,-,3.2,0.1
47,Sofiane Diop,28.7,77.6,0.9,1.4,0.2
48,Flavien Tait,44,86.4,0.1,2.8,-
49,Steve Mounié,20.3,60.2,0.1,0.3,-
50,Melvin Bard,46.1,82.8,0.5,1.9,-
51,Gerson,35.6,90.4,0.1,1,-
52,Nayef Aguerd,70.8,89,-,5.6,-
53,Dénis Bouanga,20.2,71.7,0.4,1.3,0.1
54,William Saliba,84.5,93.1,0.1,2.3,-
55,Mattéo Guendouzi,55.1,88.4,0.2,3.1,0.1
56,Jean-Clair Todibo,67.3,87.5,0.1,3.5,0.1
57,Brendan Chardonnet,39.9,81.5,-,5.4,-
58,Idrissa Gueye,53,93.5,-,1.4,-
59,Marquinhos,74.7,93.6,-,4.3,0.1
60,Valentin Rongier,56.6,90.1,0.1,2,0.1
61,Predrag Rajkovic,27.4,65.6,-,5.6,-
62,Renato Sanches,44.9,85.1,0.8,4.8,0.1
63,Azor Matusiwa,40.6,83.7,-,3.4,-
64,Jonathan Gradit,58.6,89.2,0.1,2.8,0.1
65,Ruben Aguilar,50.6,84.9,0.2,2.3,0.1
66,Ander Herrera,55.2,92.3,0.1,2.5,0.3
67,Hugo Ekitike,16.2,71.1,-,0.3,-
68,Julien Laporte,43.7,84.7,-,5.2,-
69,Mohamed Bayo,16.4,73.1,0.2,0.3,0.1
70,Ghislain Konan,33.3,78.4,0.6,1.7,-
71,Sven Botman,60.7,88.1,-,4.1,-
72,Baptiste Santamaría,44.9,87,0.1,3.6,-
73,Cengiz Ünder,25.2,79.7,0.8,1,0.1
74,Jean Onana,45.6,81.8,0.1,3.9,0.3
75,Aleksandr Golovin,23.5,80.2,1.2,0.7,0.1
76,Angelo Fulgini,36.1,83.3,0.6,0.9,-
77,Nicolas de Préville,19.3,71.7,0.9,0.7,-
78,Rominigue Kouamé,45.4,88.2,0.1,1.5,0.1
79,Luan Peres,52.2,88.1,0.3,2.4,-
80,Ronaël Pierre-Gabriel,37,84,0.5,1.4,-
81,Justin Kluivert,17.3,76.3,1.5,0.7,0.1
82,Mario Lemina,36.4,87.8,0.1,1.7,-
83,Ryad Boudebouz,49.1,81.9,0.9,2.9,0.2
84,Kevin Volland,17.6,67.9,0.2,0.8,0.2
85,Ibrahima Sissoko,28.9,80.9,0.1,1.4,-
86,Walter Benítez,23.4,71,-,4.6,-
87,Romain Thomas,56.6,86.3,-,4.9,-
88,Keylor Navas,21.3,89.9,-,2.2,-
89,Laurent Abergel,47.2,82.4,0.3,2.9,0.1
90,Sanjin Prcic,42,86.3,0.4,4.1,0.1
91,Mahdi Camara,39.7,83.4,0.1,1.3,-
92,Alban Lafont,25.7,56.2,-,6.2,-
93,Kevin Danso,56.5,86.3,-,3,-
94,Castello Lukeba,69.3,90,-,2.3,-
95,Benoît Badiashile,57.3,87.9,-,3.4,-
96,Giulian Biancone,31.7,76.5,0.5,1.7,-
97,Gelson Martins,19.4,80.4,0.1,0.3,-
98,Presnel Kimpembe,74.2,95.5,0.1,1.8,-
99,Quentin Merlin,36.1,80.7,1.3,2,-
100,Wout Faes,39.5,85.6,-,3,-
101,Yunis Abdelhamid,45.9,82,-,2.8,-
102,Dimitri Liénard,32.1,75.7,1.8,2.6,-
103,Przemyslaw Frankowski,31.2,82.2,0.4,0.8,0.1
104,Alexander Djiku,52.3,83,0.2,5.4,-
105,Wahbi Khazri,17.8,74.8,0.3,1.4,0.1
106,Enzo Le Fée,30.9,82.4,1,2.2,0.1
107,Anthony Lopes,28.5,81,-,4.8,-
108,Caio Henrique,43.6,78.8,0.8,1.4,-
109,Guillermo Maripán,51.8,88.8,-,2.6,-
110,Armand Laurienté,18.7,80.9,0.5,0.6,0.1
111,Anthony Caci,35.7,80.6,0.6,2.7,-
