,Name,AvgP,PSp,Crosses,LonB,ThrB
111,Djibril Sidibé,51.1,85.1,0.8,2.3,0.1
112,Boubakary Soumaré,48.5,86.9,-,2.4,-
113,Paul Baysse,55,87.7,0.1,3.6,-
114,Ghislain Konan,37.5,80.9,0.5,1.6,-
115,Xavier Chavalerin,33.1,84.3,0.2,2.1,0.1
116,Anthony Caci,46.2,77,0.5,5,-
117,Renaud Ripart,27.7,69.5,0.2,1.1,0.1
118,Hiroki Sakai,40.4,82.6,0.1,1.1,-
119,Danilo Pereira,51.5,92,-,1.3,-
120,Bruno Ecuele Manga,51.6,84.7,-,4.2,-
121,Junior Sambia,27.6,79.7,0.7,1.4,-
122,Nathanaël Mbuku,16.5,81.6,0.2,0.6,0.1
123,Julian Draxler,25.1,88.4,0.5,0.8,-
124,Steven Nzonzi,85.4,91.7,-,3.4,0.1
125,Sacha Boey,31.7,79.2,0.8,1.6,-
126,Moses Simon,17.3,75,0.7,0.3,-
127,Glody Ngonda,45,73.1,0.4,2.7,-
128,Mohamed Simakan,42.1,82.1,0.1,4.4,-
129,Pablo Sarabia,20.9,79.4,0.4,0.7,0.1
130,Youssouf Sabaly,47.5,84.4,0.3,1.1,-
131,Seko Fofana,39.8,87.4,0.1,1.4,-
132,Morgan Schneiderlin,57.3,88.8,-,3.2,-
133,Abdou Diallo,51.3,93.1,0.2,2.1,-
134,Thomas Mangani,57.2,83.6,0.7,4.6,0.1
135,Ronaël Pierre-Gabriel,38.9,82.8,0.4,2,-
136,Thomas Delaine,25.3,77.6,0.6,0.6,-
137,Duje Caleta-Car,57.4,86.1,-,3.4,-
138,Wout Faes,48.5,86.1,-,3.8,-
139,Leandro Paredes,69.6,90.9,-,3.7,0.1
140,John Boye,35.3,82.8,-,2.5,-
141,Nicolas Pallois,40.5,79,0.1,3,-
142,Terem Moffi,11.9,68.9,0.1,0.3,-
143,Adil Aouchiche,20,76.7,1.4,1.2,0.1
144,Remi Oudin,24.2,72.6,0.7,0.7,-
145,Wahbi Khazri,15.2,71.3,0.3,0.9,-
146,Anthony Lopes,26.2,79.5,-,5.3,-
147,Jason Denayer,54.4,94.6,-,2.5,-
148,Walter Benítez,27.3,78.6,-,3.8,-
149,Daniel Congré,39.8,86.5,-,3.4,-
150,Rony Lopes,24.3,80,1.1,0.4,-
151,Alexandre Oukidja,25.1,59.4,-,7.6,-
152,Thomas Foket,40.4,80.1,0.4,2.5,-
153,Ibrahima Sissoko,29.8,81.5,0.1,2.1,-
154,Predrag Rajkovic,34.8,62.7,-,6.6,-
155,Presnel Kimpembe,70.3,95,-,1.6,-
156,Dennis Appiah,29.2,74.8,0.2,0.9,-
157,Ignatius Ganago,11,72.6,-,0.1,-
158,Charles Traoré,33.4,71.4,0.3,1.6,-
159,Thiago Mendes,45.7,88.3,0.1,3.5,0.1
160,William Saliba,73.2,91.3,-,5,-
161,Flavien Tait,33.7,85.1,0.3,2.2,-
162,Jonas Omlin,26.1,66,-,7.3,-
163,Andreaw Gravillon,46.2,74.9,0.2,3.2,-
164,Fábio,30.5,77.3,0.3,1.3,-
165,Jonathan Ikoné,19.8,81,-,0.6,0.1
166,Cesc Fàbregas,34.9,82.9,1,2.2,-
167,Miguel Trauco,42.7,78.3,0.8,2.1,-
168,Mathieu Cafaro,23.3,68,0.8,1.4,-
169,Valon Berisha,39.3,85.2,0.7,4.1,-
170,Baptiste Reynet,37.9,64.6,-,7.7,-
171,Álvaro González,60.6,87.9,-,3.6,-
172,Issiaga Sylla,25.4,78.7,0.5,0.9,-
173,Matthieu Udol,29,83.6,0.6,1,-
174,Axel Disasi,52.2,86.7,-,2.7,-
175,Toma Basic,35.8,84.8,0.4,1.7,-
176,Romain Hamouma,18.4,75.1,0.7,0.8,-
177,Souleyman Doumbia,35.9,82.4,0.5,0.8,-
178,Hwang Ui-Jo,13,79.9,0.1,0.1,-
179,Clément Grenier,36.8,82.5,0.7,2.4,-
180,Alban Lafont,26.1,53.6,-,5.8,-
181,Dimitri Liénard,28.4,82.7,1.6,3,-
182,Adrien Truffert,36,87,0.4,0.9,-
183,Yusuf Yazici,14.2,76.2,0.7,0.4,-
184,Hicham Boudaoui,33.4,82.5,0.1,0.8,-
185,Niclas Eliasson,12.4,69,1.3,0.4,-
186,Jean-Charles Castelletto,32.8,81.2,-,1.8,-
187,Jean-Ricner Bellegarde,20.3,81.8,0.5,1.3,-
188,Thilo Kehrer,50.3,92.5,0.1,0.8,-
189,Pierrick Capelle,30.9,81.5,0.3,1,-
190,Jonathan Panzo,49.5,87,-,2.4,-
191,Benoît Costil,31.1,67.3,-,8.8,-
192,Nicolas Cozza,25.6,80.6,0.2,1.4,-
193,Enzo Le Fée,21.9,82.1,0.6,1.1,0.1
194,Domagoj Bradaric,28.5,84.6,0.3,1.1,-
195,Alfred Gomis,24.9,75,-,4,-
196,Lassana Coulibaly,22.6,82.7,-,1.2,-
197,Arnaud Nordin,13.3,82,0.7,0.7,-
198,Maxence Caqueret,36.3,86.9,0.1,1.7,-
199,Lamine Fomba,21.8,80.9,-,0.8,-
200,Kasper Dolberg,12.3,81.5,-,0.2,-
201,Pedro Mendes,36.4,84.1,-,3.9,-
202,Imrân Louza,37,82.6,0.5,2.2,-
203,Jordan Lotomba,37.9,82.9,0.2,1.1,-
204,Paul Lasne,48.9,85.8,-,2.2,-
205,Arnaud Kalimuendo,9.5,80.5,0.2,0.1,-
206,Ismaël Traoré,51,84.1,-,2.6,-
207,Gautier Larsonneur,30.7,77.1,-,6.6,-
208,Sinaly Diomandé,27,86.8,-,1.1,-
209,Myziane Maolida,17.5,77.8,0.3,0.4,-
210,Pape Gueye,42.9,84.2,0.1,2.1,-
211,Arbër Zeneli,12,79.1,0.4,0.1,-
212,Timothée Kolodziejczak,53.7,83.1,0.1,2.6,-
213,Dylan Bronn,47.1,83.2,-,3.4,-
214,Xeka,25.9,88.9,0.3,1.5,0.1
215,Mihailo Ristic,27.6,79.6,0.9,2.2,-
216,Florent Mollet,33.1,89.4,0.7,2.1,-
217,Stephy Mavididi,13,81.3,0.1,0.3,-
218,Lamine Gueye,16.2,75.7,0.5,0.2,-
219,Arnaud Souquet,18.7,76.1,0.5,0.4,-
220,Facundo Medina,65,85.8,-,4.8,-
221,Leonardo Balerdi,49.8,87,-,2.5,-
222,Adrien Thomasson,29.2,78,0.2,1.2,-
223,Gaëtan Charbonnier,18.4,78.6,0.2,0.5,0.1
224,Haris Belkebla,40.1,87.7,-,2.1,-
225,Vincent Le Goff,37.3,77.3,0.5,1.5,-
226,Benjamin Lecomte,32,72.8,-,6.1,-
227,Faitout Maouassa,27.1,82.7,0.4,1.7,-
228,Andrés Cubas,37.1,83.9,0.1,2.5,-
229,Luis Henrique,12.8,80.7,0.5,0.1,0.1
230,Yannick Cahuzac,28.8,83.3,0.1,1.1,-
231,Loris Benito,49,86.4,0.3,2,-
232,Nicolas de Préville,17.5,72.9,0.7,1,-
233,Colin Dagba,32.2,90.8,0.3,0.2,-
234,Anthony Racioppi,26,60.1,-,5.3,-
235,Jérôme Hergault,31.1,77.6,0.2,0.7,-
236,Mounir Chouiar,20.3,79.8,0.6,1,-
237,Eiji Kawashima,26.3,64.3,-,8.8,-
238,Junior Dina Ebimbe,25.4,81.8,0.2,0.9,-
239,Abdoulaye Touré,32.3,85.1,0.1,1.2,0.1
240,Stevan Jovetic,12.1,69.8,0.2,0.4,-
241,Jean-Kévin Duverne,49.2,84.2,-,5,-
242,Fabien Lemoine,46.2,86.6,0.1,2.5,-
243,Quentin Boisgard,17.7,80.2,0.7,0.3,-
244,Moreto Cassamá,47.4,88.4,0.3,4.6,-
245,Rayan Cherki,12.4,82.6,0.1,0.5,-
246,Vincent Manceau,47.3,81.5,0.3,2.4,-
247,Jean-Louis Leca,23.8,63,-,5.5,-
248,Romain Del Castillo,12.8,73.8,0.6,0.3,-
249,Sofiane Alakouch,32.5,78,0.1,1.7,-
250,Sada Thioub,21.3,84.7,0.2,0.6,-
251,Clément Michelin,18.9,77,0.9,1.1,-
252,Khéphren Thuram,33.1,88,-,1.6,-
253,Mathias Pereira Lage,15.1,76.3,0.1,0.3,-
254,Mattia De Sciglio,28.8,84.2,0.3,1.5,-
255,Senou Coulibaly,46.3,79.8,-,2.8,-
256,Mama Baldé,16.1,69.7,-,0.4,-
257,Didier Ndong,51.1,87.7,0.1,3.8,0.1
258,Victorien Angban,33.7,88.5,-,2.3,-
259,Jordan Ferri,47.4,86,0.2,4.2,0.1
260,Ibrahim Amadou,28.5,84.6,-,1.1,-
261,Stéphane Bahoken,10.3,74.8,-,0.1,-
262,Haris Duljevic,13.9,78.7,0.2,0.6,0.1
263,Irvin Cardona,12.5,69,0.2,0.5,-
264,Moussa Koné,8.8,77.5,-,0.3,-
265,Lionel Carole,28,78.3,0.4,2.6,-
266,Paul Bernardoni,20.2,56.3,-,4.4,-
267,Fouad Chafik,34.9,78.7,0.4,1.7,-
268,Papa Ndiaga Yade,8.3,75.1,0.3,0.4,-
269,Jérémy Morel,43.4,82.8,0.1,2.6,-
270,Jessy Moulin,25.2,67,-,4.9,-
271,Andy Pelmard,45.3,90.8,-,1.6,-
272,Mehdi Chahiri,11,75.6,-,0.4,-
273,Stefan Mitrovic,39.7,87.3,-,3.7,-
274,Zaydou Youssouf,16.2,81.5,0.2,1.7,-
275,Antonin Bobichon,21.8,86.1,0.3,1.3,-
276,Hilton,36.3,81.6,-,4.7,-
277,Simon Banza,9.1,73.4,0.1,0.2,-
278,Steve Mandanda,30.3,66,-,5,-
279,Marcus Coco,17.3,72.9,0.3,0.4,-
280,Flavius Daniliuc,46.6,87.8,-,2.3,-
281,Yuto Nagatomo,24.1,79.7,0.2,0.6,-
282,Lois Diony,9.8,65,0.2,0.1,-
283,Bersant Celina,29.8,82,1.1,1.1,0.1
284,Aïmen Moueffek,16.2,75.6,-,0.7,-
285,Loïck Landre,39.6,86.9,-,2.7,-
286,Jimmy Cabot,18.1,77.4,0.2,0.8,-
287,Florian Miguel,42.1,80.2,-,3.1,-
288,Moussa Doumbia,15.7,85.3,0.4,0.5,-
289,Adrien Hunou,9.5,78.8,-,0.1,-
290,El Bilal Touré,8.6,71.6,-,-,-
291,Lucas Deaux,39.1,79.6,0.2,3.4,-
292,Pedro Chirivella,38.1,83.7,0.1,2.3,-
293,Pierre-Yves Hamel,8.3,63.7,-,0.1,-
294,Ismaël Boura,17.4,83.6,0.6,0.8,-
295,Abdoul Kader Bamba,15.3,79.9,0.3,0.5,-
296,Mehdi Zerkane,20.9,84.8,0.1,0.3,-
297,Valère Germain,11.3,69.4,-,0.2,-
298,Thomas Monconduit,23.9,80.5,0.2,1.9,-
299,Yassine Benrahou,22,82.6,0.9,1.4,0.1
300,Michaël Cuisance,21.2,84.6,-,1,-
301,Paul Nardi,22.7,53.2,-,4.7,-
302,Darío Benedetto,10.9,68.5,-,0.5,-
303,Timothy Weah,10,78.9,-,-,-
304,Kévin Zohi,7.1,81.1,-,0.2,-
305,Aaron Leya Iseka,9,75,-,0.2,-
306,Charles Abi,8.3,64.3,-,0.3,-
307,Patrick Burner,22.9,75.8,0.2,0.7,-
308,Mattéo Ahlinvi,15.8,81.9,-,0.5,-
309,Vagner,8.7,77.5,0.2,-,0.1
310,Corentin Jean,6.5,78.5,0.2,0.2,-
311,Fodé Ballo-Touré,13.3,84.4,0.4,0.4,-
312,Thierry Ambrose,9.6,71.5,0.2,0.3,-
313,Tony Mauricio,10.8,86.8,0.4,0.8,-
314,Pape Cheikh,28.6,85.5,-,0.9,-
315,Jérémy Le Douaron,6.1,70.3,0.1,-,-
316,Lucas Gourna-Douath,20.2,87.3,-,0.7,-
317,Adrian Grbic,6.2,61.5,-,-,-
318,Moussa Konaté,9.8,74.7,-,0.1,-
319,Jordan Marié,31.5,83.8,-,2.3,-
320,Dereck Kutesa,4.7,70.5,0.1,-,-
321,Frédéric Sammaritano,13.8,84.5,0.8,0.6,-
322,Petar Skuletic,3.9,54.1,-,0.1,-
323,Damien Le Tallec,18.9,79.3,-,1.9,-
324,Kaj Sierhuis,6.5,63.5,0.1,0.3,-
325,Wesley Lautoa,32.2,84.7,-,1.9,-
326,Jimmy Briand,6.8,76.1,-,-,-
327,Alex Dobre,7.5,73.2,-,-,-
328,Dan Ndoye,5.7,78.6,-,-,-
329,Joris Chotard,12.2,73.4,0.2,1,-
330,Renaud Emond,3.7,68.3,-,0.1,-
331,Amadou Traoré,3.9,79.7,0.2,-,-
332,Mohamed-Ali Cho,4.6,67.7,-,0.1,-
333,Nolan Roux,7.4,74.3,0.1,0.1,-
