,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Neymar,58.4,80.6,0.8,2.9,0.9
1,Kylian Mbappé,30.1,80.4,0.4,0.5,0.1
2,Ángel Di María,41.3,78.5,1.6,2.3,0.5
3,Dimitri Payet,40.9,76.6,2.5,2.7,0.2
4,Téji Savanier,45.3,79,1.3,5,-
5,Wissam Ben Yedder,29.9,74.9,0.2,0.4,0.2
6,Idrissa Gueye,78.3,92.7,0.1,2.1,0.1
7,Marco Verratti,85.5,92.5,0.3,3.3,0.3
8,Mounir Chouiar,26.1,76.2,1.7,0.9,-
9,Hassane Kamara,39.2,83.8,0.4,2.1,-
10,Marquinhos,68.3,93.4,-,3.8,0.1
11,Mauro Icardi,8.5,86.4,0.1,0.2,-
12,Andy Delort,26.4,62,0.8,1.2,-
13,Victor Osimhen,12.7,61.4,0.2,0.1,-
14,Pierre Lees-Melou,44.5,86.1,0.4,2.9,0.1
15,Júlio Tavares,22,65.2,0.1,0.2,-
16,Raphinha,25.8,71.3,1.3,1,0.1
17,Zinedine Ferhat,28.9,70.2,1.8,1,-
18,Renato Sanches,47,86.7,1.1,2.4,-
19,Islam Slimani,28.3,69.4,0.3,0.6,0.2
20,Eduardo Camavinga,39,87.7,-,2.5,-
21,Nicolas de Préville,34.8,78.2,1.3,1.7,-
22,Aleksandr Golovin,39.5,81.7,1.5,2,0.1
23,Benjamin André,46.8,79,0.1,1.7,-
24,Adam Ounas,26.4,82,0.6,1.9,0.3
25,Baptiste Santamaría,47.2,81.5,-,5,0.1
26,Yunis Abdelhamid,55.8,84.5,-,3.1,-
27,Fabien Centonze,36.3,75.2,0.6,1.9,-
28,Lucas Deaux,40.2,76.6,0.2,3.4,0.1
29,Jordan Amavi,38.6,79,0.3,1.8,-
30,Valentin Rongier,54.6,86.6,-,2.1,-
31,Angelo Fulgini,42.6,80.7,1.1,1.2,-
32,Wylan Cyprien,62.6,87.6,1.5,3.8,-
33,Xavier Chavalerin,41.2,81.5,1.2,3.1,-
34,Moussa Dembélé,16,70.1,-,0.3,0.1
35,Gaëtan Laborde,21.9,68.8,0.1,0.3,0.1
36,Tiémoué Bakayoko,47.2,86,-,2.1,0.1
37,Juan Bernat,55.3,91,0.2,0.4,-
38,Gil Dias,38.1,82,0.4,1.4,-
39,Dénis Bouanga,19.1,72.4,0.3,0.7,-
40,Gerónimo Rulli,29.2,74.1,-,8.9,-
41,Predrag Rajkovic,32.3,69.8,-,5.7,-
42,Pablo,59.4,87.1,-,2.7,-
43,Houssem Aouar,42.1,85.7,0.2,1.3,0.1
44,Gautier Larsonneur,32.1,68.8,-,6.2,-
45,Ludovic Ajorque,19,70.3,0.1,0.4,-
46,Bouna Sarr,39.7,84.7,0.5,1,-
47,Nicolas Pallois,51,83.3,-,4,-
48,Presnel Kimpembe,69.4,95,-,1.8,-
49,Habib Maïga,47.3,83.5,0.3,2.4,-
50,Stanley Nsoki,56.6,90,0.1,1.6,-
51,Andrei Girotto,49.4,84.8,0.1,2.8,-
52,Boubacar Kamara,54.4,85.7,-,3.5,-
53,Dimitri Liénard,40.8,83.5,1.6,5.2,-
54,Faitout Maouassa,32.5,76.7,0.6,1.4,-
55,Marcelo,68.6,85.3,-,4.1,-
56,Hamari Traoré,45.3,81.2,0.6,2,-
57,Maxwel Cornet,26.3,75.8,1,0.6,-
58,Habib Diallo,17.1,66.7,-,0.2,-
59,Thiago Silva,71.2,95.5,-,3.2,-
60,Morgan Sanson,30.2,86,0.4,1.3,-
61,Darío Benedetto,19,66.3,-,1.4,-
62,Alexandre Oukidja,29,46,-,7.6,-
63,Ghislain Konan,43.5,79.3,0.6,1.8,-
64,Adama Traoré,28.9,86.6,0.9,1,0.1
65,Édouard Mendy,28.7,70.1,-,7.8,-
66,Hilton,50.1,80.3,0.1,6.4,-
67,Bertrand Traoré,21.4,82.2,0.8,1.1,-
68,Thomas Meunier,47.2,85.3,0.7,2.3,-
69,Adrien Thomasson,35.4,79.4,0.6,1.2,-
70,Kasper Dolberg,12.4,77.2,-,0.1,-
71,M'Baye Niang,18.5,68.6,-,0.8,-
72,Enock Kwateng,35.8,78,0.2,1.6,-
73,Damien Da Silva,50.3,85.1,-,3.2,-
74,Walter Benítez,25,82.4,-,2.8,-
75,Gabriel Magalhães,61.8,82.2,-,3.7,-
76,Ludovic Blas,27.5,79.2,0.1,1.5,-
77,Serhou Guirassy,26.5,71.3,-,0.6,-
78,Alexander Djiku,48.8,86.1,0.1,4,-
79,Opa Nguette,19.5,81.2,-,0.3,-
80,Charles Traoré,43.6,74.7,0.3,1.9,-
81,Otávio,60.5,89.5,0.1,2.8,-
82,Toma Basic,36.1,81.5,0.9,1.8,0.1
83,Romain Del Castillo,21.1,79.2,0.4,0.6,0.1
84,Alfred Gomis,32.6,65.5,-,8.6,-
85,Lucas Tousart,38.9,84.9,0.1,1.7,-
86,Issiaga Sylla,40.9,75.5,0.6,1.5,-
87,Kenny Lala,40.1,78.6,1,3.8,-
88,Mohamed Simakan,39.7,76.9,0.2,3.1,-
89,Renaud Ripart,22.5,69.1,0.3,0.8,-
90,Abdou Diallo,64.6,92.6,0.1,3.1,-
91,Samuel Kalu,23,75.9,0.3,0.8,-
92,Zaydou Youssouf,31.9,81.4,-,3,-
93,Gaëtan Charbonnier,30.7,78.5,0.1,1.5,0.1
94,Dénys Bain,46.1,91.2,-,1.8,-
95,Gelson Martins,31.2,83.7,0.3,0.4,-
96,Thiago Mendes,52.6,85.8,0.1,3.5,-
97,Dante,77.6,91.2,-,4.4,-
98,Alexis Claude-Maurice,25.5,87.2,0.3,0.8,-
99,Mathieu Debuchy,39.3,73.2,0.4,2,-
100,Romain Thomas,43.5,85.5,-,4.8,-
101,Jonathan Ikoné,23.6,78.2,0.1,0.7,0.2
102,Axel Disasi,55.3,84.6,-,4,-
103,Benoît Badiashile,58.4,85.3,-,3.6,-
104,Abdoul Kader Bamba,24.4,81.2,0.8,0.6,0.1
105,Florent Mollet,30.3,85.5,1.3,1.6,0.1
106,Jeff Reine-Adélaïde,28.6,87.3,0.2,0.6,-
107,Imrân Louza,44.3,80.7,0.6,2.4,0.1
108,Aurélien Tchouaméni,46.2,85,-,1.3,-
109,Thomas Foket,36.3,78.8,0.6,1.6,-
110,Thomas Mangani,51.9,83.4,1.7,2.9,-
111,Benjamin Bourigeaud,42.6,79.6,1.5,4.2,-
112,Jonathan Bamba,29.3,82.8,0.6,1.3,0.1
113,Arnaud Souquet,31.8,75.9,0.3,1.2,-
114,Abdoulaye Touré,49.1,84.3,0.1,2.4,-
115,Hiroki Sakai,43.3,84.2,0.3,1.3,-
116,Wesley Fofana,45.9,81.8,-,1.7,-
117,Duje Caleta-Car,46.7,86.7,-,3.5,-
118,Kalifa Coulibaly,15.5,55.7,0.1,-,-
119,Julien Faussurier,42,71.9,1,3.4,-
120,Léo Dubois,46.7,82.7,0.4,2.3,-
121,Remi Oudin,22.7,68.4,0.4,1.5,0.1
122,Layvin Kurzawa,42.1,90.8,0.3,0.5,-
123,Wesley Lautoa,42.8,86.4,-,3.7,-
124,Ibrahim Sangaré,50.6,78.7,0.1,3.6,-
125,Jason Denayer,64.1,94,-,3.3,-
126,Joris Gnagnon,34.2,90,0.1,1.4,-
127,Yoann Court,20.6,75.3,0.5,1.1,-
128,Max Gradel,23.5,70.2,0.8,0.3,-
129,Romain Hamouma,15.9,76.7,0.7,0.7,0.1
130,Pablo Martinez,41.3,77.7,-,3.4,-
131,Dennis Appiah,40.1,76.6,0.1,0.9,-
132,Jhonder Cádiz,10.6,60.6,0.1,0.4,0.1
133,Damien Le Tallec,35,80.2,-,2.4,-
134,Sada Thioub,27.5,82.9,0.4,0.7,-
135,Kévin N'Doram,45.1,88.7,-,2,-
136,Rayan Aït-Nouri,36.2,78.2,0.8,1.6,-
137,Boulaye Dia,13.2,74.1,-,0.3,-
138,John Boye,38.2,85.5,-,2.4,-
139,Hamza Mendyl,36.3,79.5,0.3,2.4,-
140,Didier Ndong,51.8,89,0.1,2.9,0.1
141,Guillermo Maripán,53.8,88,0.1,4.6,-
142,Loic Perrin,52.3,87.6,-,3.2,-
143,Zeki Çelik,46,79.4,0.4,2.7,-
144,Danilo Barbosa,49.4,91.7,-,1.6,-
145,Mickaël Alphonse,32.1,70.3,0.4,1.1,-
146,Yacine Adli,25.1,83.1,0.4,0.9,-
147,Kamil Glik,49,88.2,-,2.5,-
148,Pablo Sarabia,29.4,82.7,0.3,0.6,0.2
149,Arturo Calabresi,35.7,72.5,0.2,1.5,-
150,Moses Simon,22.7,78.3,0.5,0.3,-
151,Steven Mendoza,23.8,71.7,0.2,0.5,-
152,Matz Sels,27.4,63.4,-,8.7,-
153,Fouad Chafik,36.5,77.9,0.9,2.9,0.1
154,Gaël Kakuta,31,73.8,0.5,0.8,0.2
155,Ryad Boudebouz,35.5,77.9,1.1,2.5,0.2
156,Anthony Lopes,25.9,80.2,-,4.8,-
157,Mehdi Abeid,35.8,86.4,0.6,1.3,-
158,Jimmy Briand,14.8,78.5,-,0.1,-
159,Pierrick Capelle,30.3,82.3,0.3,0.9,-
160,Kenny Tete,37.6,83.1,0.6,1.7,-
161,Joachim Andersen,73.8,89.9,-,4.8,-
162,Arnaud Lusamba,28.5,84.8,0.3,1.3,-
163,Keylor Navas,22.2,84.5,-,2.8,-
164,Domagoj Bradaric,33.6,83,0.9,1.1,-
