Name,Position,Date of Birth,Age,Nationality,Market Value
Benjamin Leroy,Goalkeeper,"Apr 7, 1989",34,France,€500k
François-Joseph Sollacaro,Goalkeeper,"Mar 21, 1994",29,France,€300k
Ghjuvanni Quilichini,Goalkeeper,"Sep 1, 2002",20,France,€150k
Oumar Gonzalez,Centre-Back,"Feb 25, 1998",25,Cameroon,€2.50m
Clément Vidal,Centre-Back,"Jun 18, 2000",23,France,€1.80m
Fernand Mayembo,Centre-Back,"Jan 9, 1996",27,Congo,€600k
Cédric Avinel,Centre-Back,"Sep 11, 1986",36,Guadeloupe,€250k
Anthony Khelifa,Centre-Back,"Sep 20, 2005",17,Algeria,€150k
Ismaël Diallo,Left-Back,"Jan 29, 1997",26,Cote d'Ivoire,€1.50m
Youssouf Koné,Left-Back,"Jul 5, 1995",27,Mali,€1.50m
Chaker Alhadhur,Left-Back,"Dec 4, 1991",31,Comoros,€150k
Victor Lebas,Left-Back,"Sep 14, 2004",18,Portugal,€50k
Mickaël Alphonse,Right-Back,"Jul 12, 1989",33,Guadeloupe,€250k
Mohamed Youssouf,Right-Back,"Mar 26, 1988",35,Comoros,€200k
Tony Strata,Right-Back,"Sep 7, 2004",18,Romania,€50k
Mehdi Puch-Herrantz,Defensive Midfield,"Jan 20, 2004",19,Algeria,€150k
Vincent Marchetti,Central Midfield,"Jul 4, 1997",25,France,€2.50m
Qazim Laci,Central Midfield,"Jan 19, 1996",27,Albania,€1.70m
Thomas Mangani,Central Midfield,"Apr 29, 1987",36,France,€400k
Mathieu Coutadeur,Central Midfield,"Mar 20, 1986",37,France,€200k
Paolo Lebas,Central Midfield,"Apr 20, 2003",20,Portugal,€100k
Alassane N'Diaye,Right Midfield,"Jun 14, 1991",32,France,€150k
Yanis Cimignani,Left Midfield,"Jan 22, 2002",21,France,€1.20m
Michaël Barreto,Attacking Midfield,"Jan 18, 1991",32,France,€400k
Florian Chabrolle,Attacking Midfield,"Apr 7, 1998",25,France,€200k
Youcef Belaïli,Left Winger,"Mar 14, 1992",31,Algeria,€1.50m
Kevin Spadanuda,Left Winger,"Jan 16, 1997",26,Switzerland,€700k
Cyrille Bayala,Right Winger,"May 24, 1996",27,Burkina Faso,€900k
Romain Hamouma,Right Winger,"Mar 29, 1987",36,France,€400k
Riad Nouri,Right Winger,"Jun 7, 1985",38,France,€200k
Ivane Chegra,Right Winger,"Mar 3, 2004",19,Algeria,€150k
Ruan Levine,Right Winger,"Jan 19, 1999",24,Brazil,€100k
Mounaïm El Idrissy,Centre-Forward,"Feb 10, 1999",24,France,€2.00m
Moussa Djitté,Centre-Forward,"Oct 4, 1999",23,Senegal,€1.50m
Moussa Soumano,Centre-Forward,"Jul 9, 2005",17,France,€900k
Bevic Moussiti-Oko,Centre-Forward,"Jan 28, 1995",28,Congo,€500k
Gaëtan Courtet,Centre-Forward,"Feb 22, 1989",34,France,€400k
Jean Botué,Centre-Forward,"Aug 7, 2002",20,Burkina Faso,€400k
Yoann Touzghar,Centre-Forward,"Nov 28, 1986",36,Tunisia,€300k
Ben Hamed Touré,Centre-Forward,"Aug 21, 2003",19,Cote d'Ivoire,€100k
Mamadu Silla,Centre-Forward,"Nov 30, 2006",16,Portugal,-
