Name,Position,Date of Birth,Age,Nationality,Market Value
Alexander Nübel,Goalkeeper,"Sep 30, 1996",26,Germany,€8.00m
Thomas Didillon,Goalkeeper,"Nov 28, 1995",27,France,€1.00m
Yann Lienard,Goalkeeper,"Mar 16, 2003",20,France,€200k
Benoît Badiashile,Centre-Back,"Mar 26, 2001",22,France,€40.00m
Axel Disasi,Centre-Back,"Mar 11, 1998",25,France,€30.00m
Guillermo Maripán,Centre-Back,"May 6, 1994",29,Chile,€10.00m
Malang Sarr,Centre-Back,"Jan 23, 1999",24,France,€6.00m
Chrislain Matsima,Centre-Back,"May 15, 2002",21,France,€6.00m
Soungoutou Magassa,Centre-Back,"Oct 8, 2003",19,France,€800k
Yllan Okou,Centre-Back,"Dec 23, 2002",20,France,€300k
Caio Henrique,Left-Back,"Jul 31, 1997",25,Brazil,€20.00m
Ismail Jakobs,Left-Back,"Aug 17, 1999",23,Senegal,€6.00m
Vanderson,Right-Back,"Jun 21, 2001",22,Brazil,€20.00m
Ruben Aguilar,Right-Back,"Apr 26, 1993",30,France,€7.00m
Nazim Babaï,Right-Back,"Jan 14, 2003",20,Algeria,-
Mohamed Camara,Defensive Midfield,"Jan 6, 2000",23,Mali,€30.00m
Youssouf Fofana,Central Midfield,"Jan 10, 1999",24,France,€25.00m
Eliot Matazo,Central Midfield,"Feb 15, 2002",21,Belgium,€7.00m
Jean Lucas,Central Midfield,"Jun 22, 1998",25,Brazil,€5.00m
Edan Diop,Central Midfield,"Aug 28, 2004",18,France,€2.00m
Félix Lemaréchal,Central Midfield,"Aug 7, 2003",19,France,€1.00m
Aleksandr Golovin,Attacking Midfield,"May 30, 1996",27,Russia,€28.00m
Eliesse Ben Seghir,Attacking Midfield,"Feb 16, 2005",18,Morocco,€18.00m
Maghnes Akliouche,Attacking Midfield,"Feb 25, 2002",21,France,€6.00m
Sofiane Diop,Left Winger,"Jun 9, 2000",23,Morocco,€15.00m
Takumi Minamino,Left Winger,"Jan 16, 1995",28,Japan,€6.00m
Krépin Diatta,Right Winger,"Feb 25, 1999",24,Senegal,€15.00m
Gelson Martins,Right Winger,"May 11, 1995",28,Portugal,€5.00m
Breel Embolo,Centre-Forward,"Feb 14, 1997",26,Switzerland,€20.00m
Wissam Ben Yedder,Centre-Forward,"Aug 12, 1990",32,France,€15.00m
Kevin Volland,Centre-Forward,"Jul 30, 1992",30,Germany,€8.00m
Myron Boadu,Centre-Forward,"Jan 14, 2001",22,Netherlands,€7.00m
