Name,Position,Date of Birth,Age,Nationality,Market Value
Kevin Trapp,Goalkeeper,"Jul 8, 1990",32,Germany,€8.50m
Diant Ramaj,Goalkeeper,"Sep 19, 2001",21,Germany,€750k
Jannik Horz,Goalkeeper,"Apr 14, 2003",20,Germany,€200k
Jens Grahl,Goalkeeper,"Sep 22, 1988",34,Germany,€200k
Simon Simoni,Goalkeeper,"Jul 14, 2004",18,Albania,€200k
Evan Ndicka,Centre-Back,"Aug 20, 1999",23,Cote d'Ivoire,€28.00m
Tuta,Centre-Back,"Jul 4, 1999",23,Brazil,€15.00m
Hrvoje Smolcic,Centre-Back,"Aug 17, 2000",22,Croatia,€4.00m
Almamy Touré,Centre-Back,"Apr 28, 1996",27,Mali,€2.50m
Jérôme Onguéné,Centre-Back,"Dec 22, 1997",25,Cameroon,€2.00m
Makoto Hasebe,Centre-Back,"Jan 18, 1984",39,Japan,€800k
Dario Gebuhr,Centre-Back,"May 6, 2003",20,Germany,€400k
Luca Pellegrini,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
Philipp Max,Left-Back,"Sep 30, 1993",29,Germany,€3.00m
Christopher Lenz,Left-Back,"Sep 22, 1994",28,Germany,€2.50m
Jan Schröder,Left-Back,"Apr 15, 2003",20,Germany,€200k
Aurélio Buta,Right-Back,"Feb 10, 1997",26,Portugal,€8.00m
Timothy Chandler,Right-Back,"Mar 29, 1990",33,United States,€700k
Kristijan Jakic,Defensive Midfield,"May 14, 1997",26,Croatia,€7.00m
Djibril Sow,Central Midfield,"Feb 6, 1997",26,Switzerland,€22.00m
Junior Dina Ebimbe,Central Midfield,"Nov 21, 2000",22,France,€10.00m
Sebastian Rode,Central Midfield,"Oct 11, 1990",32,Germany,€2.00m
Marcel Wenig,Central Midfield,"May 4, 2004",19,Germany,€800k
Mehdi Loune,Central Midfield,"May 14, 2004",19,Germany,€300k
Filip Kostić,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
Jesper Lindstrøm,Attacking Midfield,"Feb 29, 2000",23,Denmark,€28.00m
Daichi Kamada,Attacking Midfield,"Aug 5, 1996",26,Japan,€27.00m
Mario Götze,Attacking Midfield,"Jun 3, 1992",31,Germany,€12.00m
Paxten Aaronson,Attacking Midfield,"Aug 26, 2003",19,United States,€4.50m
Jens Petter Hauge,Left Winger,"Oct 12, 1999",23,Norway,€2.50m
Faride Alidou,Left Winger,"Jul 18, 2001",21,Germany,€2.50m
Ansgar Knauff,Right Winger,"Jan 10, 2002",21,Germany,€8.00m
Randal Kolo Muani,Centre-Forward,"Dec 5, 1998",24,France,€80.00m
Rafael Borré,Centre-Forward,"Sep 15, 1995",27,Colombia,€9.00m
Lucas Alario,Centre-Forward,"Oct 8, 1992",30,Argentina,€2.50m
Nacho Ferri,Centre-Forward,"Oct 5, 2004",18,Spain,€500k
