Name,Position,Date of Birth,Age,Nationality,Market Value
Manuel Neuer,Goalkeeper,"Mar 27, 1986",37,Germany,€7.00m
Yann Sommer,Goalkeeper,"Dec 17, 1988",34,Switzerland,€5.00m
Sven Ulreich,Goalkeeper,"Aug 3, 1988",34,Germany,€700k
Johannes Schenk,Goalkeeper,"Jan 13, 2003",20,Germany,€300k
Matthijs de Ligt,Centre-Back,"Aug 12, 1999",23,Netherlands,€75.00m
Dayot Upamecano,Centre-Back,"Oct 27, 1998",24,France,€60.00m
Benjamin Pavard,Centre-Back,"Mar 28, 1996",27,France,€40.00m
Josip Stanisic,Centre-Back,"Apr 2, 2000",23,Croatia,€12.00m
Tanguy Nianzou,Centre-Back,"Jun 7, 2002",21,France,€7.50m
Daley Blind,Centre-Back,"Mar 9, 1990",33,Netherlands,€3.00m
Justin Janitzek,Centre-Back,"Feb 10, 2004",19,Germany,€500k
Liam Morrison,Centre-Back,"Apr 7, 2003",20,Scotland,€300k
Gabriel Marusic,Centre-Back,"Mar 3, 2003",20,Croatia,€150k
Alphonso Davies,Left-Back,"Nov 2, 2000",22,Canada,€70.00m
Lucas Hernández,Left-Back,"Feb 14, 1996",27,France,€45.00m
Joshua Kimmich,Right-Back,"Feb 8, 1995",28,Germany,€75.00m
João Cancelo,Right-Back,"May 27, 1994",29,Portugal,€50.00m
Noussair Mazraoui,Right-Back,"Nov 14, 1997",25,Morocco,€28.00m
Bouna Sarr,Right-Back,"Jan 31, 1992",31,Senegal,€2.00m
Aleksandar Pavlovic,Defensive Midfield,"May 3, 2004",19,Germany,-
Leon Goretzka,Central Midfield,"Feb 6, 1995",28,Germany,€45.00m
Ryan Gravenberch,Central Midfield,"May 16, 2002",21,Netherlands,€30.00m
Marcel Sabitzer,Central Midfield,"Mar 17, 1994",29,Austria,€20.00m
Jamal Musiala,Attacking Midfield,"Feb 26, 2003",20,Germany,€110.00m
Paul Wanner,Attacking Midfield,"Dec 23, 2005",17,Germany,€3.00m
Kingsley Coman,Left Winger,"Jun 13, 1996",27,France,€65.00m
Sadio Mané,Left Winger,"Apr 10, 1992",31,Senegal,€25.00m
Mathys Tel,Left Winger,"Apr 27, 2005",18,France,€20.00m
Gabriel Vidovic,Left Winger,"Dec 1, 2003",19,Croatia,€2.50m
Arijon Ibrahimovic,Left Winger,"Dec 11, 2005",17,Germany,€1.00m
Leroy Sané,Right Winger,"Jan 11, 1996",27,Germany,€65.00m
Serge Gnabry,Right Winger,"Jul 14, 1995",27,Germany,€55.00m
Thomas Müller,Second Striker,"Sep 13, 1989",33,Germany,€12.00m
Joshua Zirkzee,Centre-Forward,"May 22, 2001",22,Netherlands,€9.00m
Eric-Maxim Choupo-Moting,Centre-Forward,"Mar 23, 1989",34,Cameroon,€5.00m
