Name,Position,Date of Birth,Age,Nationality,Market Value
Manuel Riemann,Goalkeeper,"Sep 9, 1988",34,Germany,€1.00m
Marko Johansson,Goalkeeper,"Aug 25, 1998",24,Sweden,€400k
Michael Esser,Goalkeeper,"Nov 22, 1987",35,Germany,€300k
Paul Grave,Goalkeeper,"Apr 10, 2001",22,Germany,€100k
Erhan Masovic,Centre-Back,"Nov 22, 1998",24,Serbia,€8.00m
Ivan Ordets,Centre-Back,"Jul 8, 1992",30,Ukraine,€3.00m
Keven Schlotterbeck,Centre-Back,"Apr 28, 1997",26,Germany,€3.00m
Dominique Heintz,Centre-Back,"Aug 15, 1993",29,Germany,€1.20m
Tim Oermann,Centre-Back,"Oct 6, 2003",19,Germany,€800k
Vasilios Lampropoulos,Centre-Back,"Mar 31, 1990",33,Greece,€500k
Mohammed Tolba,Centre-Back,"Jul 19, 2004",18,Germany,€200k
Danilo Soares,Left-Back,"Oct 29, 1991",31,Brazil,€1.80m
Jannes Horn,Left-Back,"Feb 6, 1997",26,Germany,€1.20m
Konstantinos Stafylidis,Left-Back,"Dec 2, 1993",29,Greece,€1.20m
Jordi Osei-Tutu,Right-Back,"Oct 2, 1998",24,England,€1.20m
Saidy Janko,Right-Back,"Oct 22, 1995",27,The Gambia,€1.00m
Cristian Gamboa,Right-Back,"Oct 24, 1989",33,Costa Rica,€600k
Jacek Goralski,Defensive Midfield,"Sep 21, 1992",30,Poland,€700k
Anthony Losilla,Defensive Midfield,"Mar 10, 1986",37,France,€500k
Patrick Osterhage,Central Midfield,"Feb 1, 2000",23,Germany,€4.00m
Pierre Kunde,Central Midfield,"Jul 26, 1995",27,Cameroon,€1.70m
Kevin Stöger,Attacking Midfield,"Aug 27, 1993",29,Austria,€3.00m
Philipp Förster,Attacking Midfield,"Feb 4, 1995",28,Germany,€2.80m
Gerrit Holtmann,Left Winger,"Mar 25, 1995",28,Philippines,€2.50m
Christopher Antwi-Adjei,Left Winger,"Feb 7, 1994",29,Ghana,€2.20m
Takuma Asano,Right Winger,"Nov 10, 1994",28,Japan,€4.00m
Tarsis Bonga,Right Winger,"Jan 10, 1997",26,Germany,€300k
Philipp Hofmann,Centre-Forward,"Mar 30, 1993",30,Germany,€2.80m
Simon Zoller,Centre-Forward,"Jun 26, 1991",32,Germany,€1.10m
Lys Mousset,Centre-Forward,"Feb 8, 1996",27,France,€1.00m
Moritz Broschinski,Centre-Forward,"Sep 23, 2000",22,Germany,€1.00m
Silvere Ganvoula,Centre-Forward,"Jun 29, 1996",27,Congo,€600k
