,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kevin De Bruyne,Man City,32," M(CLR),FW",28(4),2425,7,16,1,-,2,80.8,0.4,9,7.58
1,Erling Haaland,Man City,23, FW,33(2),2779,36,8,5,-,3.5,74.8,1.4,6,7.54
2,Harry Kane,Tottenham,30," AM(C),FW",38,3408,30,3,6,-,3.4,72,1.7,8,7.51
3,Bruno Fernandes,Man Utd,29, M(CLR),37,3320,8,8,6,-,2.5,77.7,0.5,6,7.44
4,Gabriel Jesus,Arsenal,27," AM(LR),FW",24(2),2075,11,6,6,-,3,81.5,1.7,4,7.42
5,Kieran Trippier,Newcastle,33," D(LR),M(R)",38,3348,1,7,5,-,0.4,76,1.3,8,7.41
6,Bukayo Saka,Arsenal,22," D(L),M(CLR)",37(1),3195,14,11,6,-,2.3,80.9,0.4,4,7.40
7,Solly March,Brighton,29, M(CLR),31(2),2728,7,7,2,-,2.2,78.6,0.9,6,7.38
8,Jack Grealish,Man City,28," AM(CL),FW",23(5),2064,5,7,4,-,1.5,87.6,0.5,3,7.33
9,Martin Ødegaard,Arsenal,25, AM(CR),37,3149,15,7,4,-,2.5,84,0.4,7,7.29
10,Rodri,Man City,27," D(C),DMC",34(2),2921,2,6,5,-,1.4,91.3,2,3,7.26
11,Gabriel Martinelli,Arsenal,22," AM(L),FW",34(2),2806,15,5,3,-,2.2,82.4,0.4,4,7.25
12,Ivan Toney,Brentford,28, FW,33,2955,20,4,9,-,2.8,62,3.3,5,7.25
13,Joelinton,Newcastle,27," AM(CLR),FW",30(2),2664,6,1,12,-,1.6,82.3,2.1,3,7.25
14,James Maddison,Leicester,27, AM(CLR),28(2),2486,10,9,10,-,2.8,79.5,0.1,2,7.24
15,Bruno Guimarães,Newcastle,26, DMC,32,2735,4,5,7,-,0.9,84.6,0.6,1,7.21
16,Casemiro,Man Utd,32," D(C),DMC",24(4),2126,4,3,7,2,1.2,78.5,2,5,7.17
17,Mohamed Salah,Liverpool,31," AM(CLR),FW",37(1),3297,19,12,2,-,3.3,78.1,0.2,3,7.17
18,Phil Foden,Man City,23," AM(CLR),FW",22(10),1844,11,5,1,-,1.4,86.1,0.6,3,7.13
19,Ilkay Gündogan,Man City,33, M(C),27(4),2359,8,4,-,-,1.7,88.2,0.6,2,7.11
20,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",34(3),2932,2,9,5,-,1.1,78.7,0.5,2,7.11
