,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
64,Aymeric Laporte,Man City,29, D(CL),33,2836,4,-,5,1,1.1,94.8,1.6,-,6.91
65,Aaron Wan-Bissaka,Man Utd,26," D(LR),M(R)",20,1794,-,-,2,-,0.3,81,1,1,6.91
66,Matty Cash,Aston Villa,26," D(R),M(CLR)",38,3380,4,3,8,-,1,72.4,1.1,3,6.91
67,Martin Ødegaard,Arsenal,25, AM(CR),32(4),2793,7,4,4,-,1.5,86,0.4,1,6.91
68,Youri Tielemans,Leicester,26, M(C),29(3),2634,6,4,3,-,1.8,83.5,0.8,3,6.90
69,Ollie Watkins,Aston Villa,28," AM(LR),FW",33(2),2955,11,2,7,-,2.2,70.9,1.9,1,6.90
70,Leandro Trossard,Brighton,29," M(CLR),FW",32(2),2812,8,3,2,-,2.2,77.9,0.3,5,6.90
71,Scott McTominay,Man Utd,27," D(C),M(C)",28(2),2393,1,1,9,-,0.9,85.6,2.3,2,6.89
72,Alex Telles,Man Utd,31," D(CL),M(L)",18(3),1660,-,4,1,-,0.5,80.3,1.4,-,6.89
73,Andreas Christensen,Chelsea,28," D(C),DMC",17(2),1496,-,-,2,-,0.3,90,2.6,-,6.89
74,Nathan Collins,Burnley,23, D(CR),18(1),1670,2,-,2,1,0.8,69.2,3.1,1,6.89
75,Emmanuel Dennis,Watford,26," M(CLR),FW",30(3),2591,10,6,7,1,1.8,68.3,1.4,2,6.89
76,Maximilian Kilman,Wolves,26, D(C),30,2689,1,-,3,-,0.4,85.8,2.2,1,6.87
77,Ruben Loftus-Cheek,Chelsea,28, M(CLR),13(11),1388,-,2,1,-,0.8,89.7,1.5,-,6.87
78,Alisson Becker,Liverpool,31, GK,36,3240,-,1,-,-,-,85.5,0.4,1,6.87
79,Saïd Benrahma,West Ham,28, AM(CLR),26(6),2184,8,6,-,-,2,81.1,0.3,2,6.87
80,Fred,Man Utd,31, M(C),24(4),2036,4,4,5,-,0.5,84.1,0.5,2,6.87
81,Oriol Romeu,Southampton,32, DMC,34(2),2899,2,2,9,-,0.7,82,1.9,2,6.87
