,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kevin De Bruyne,42.4,80.8,2,2.5,0.5
1,Erling Haaland,13.7,74.8,-,0.1,0.1
2,Harry Kane,22.4,72,0.2,1.9,0.3
3,Bruno Fernandes,50.1,77.7,0.9,3.1,0.6
4,Gabriel Jesus,25.9,81.5,0.1,0.6,0.1
5,Kieran Trippier,54.3,76,3.6,3.9,0.2
6,Bukayo Saka,32.5,80.9,1,0.9,-
7,Solly March,33.4,78.6,1.1,2.1,0.1
8,Jack Grealish,35.3,87.6,0.4,0.8,0.1
9,Martin Ødegaard,45.6,84,0.5,1.5,0.3
10,Rodri,82.7,91.3,0.1,4.8,0.1
11,Gabriel Martinelli,27.1,82.4,0.5,1,0.1
12,Ivan Toney,22.3,62,0.2,0.4,0.2
13,Joelinton,38.4,82.3,0.1,1.1,-
14,James Maddison,33.8,79.5,1.2,1.7,0.2
15,Bruno Guimarães,51,84.6,0.1,3.2,0.3
16,Casemiro,50.4,78.5,0.1,3.4,0.3
17,Mohamed Salah,29.5,78.1,0.3,0.6,0.2
18,Phil Foden,31.3,86.1,0.8,0.8,0.1
19,Ilkay Gündogan,49.7,88.2,0.3,1.9,0.3
20,Trent Alexander-Arnold,62.4,78.7,2.1,5.2,0.3
21,Ethan Pinnock,36.4,80.2,0.1,1.6,-
22,Aleksandar Mitrovic,20.4,60.5,-,1,0.1
23,Marcus Rashford,22.3,78.7,0.1,0.8,0.1
24,Thomas Partey,59,88,0.1,3.2,0.2
25,Cody Gakpo,17.7,78.4,-,0.3,-
26,Alexander Isak,16,77.8,-,0.7,0.1
27,Alexis Mac Allister,51.5,87.2,0.2,1.9,0.2
28,Fabian Schär,50.4,77.7,0.1,4.3,0.1
29,Declan Rice,56.3,88,0.3,4.1,-
30,Pierre-Emile Højbjerg,64.5,88.6,0.2,4.5,0.2
31,Eberechi Eze,28.5,82.4,0.6,0.9,0.1
32,Riyad Mahrez,34.4,86.8,0.9,1.2,0.2
33,Bryan Mbeumo,21.3,73.7,1.1,0.8,0.1
34,Kaoru Mitoma,27.7,83.3,0.1,0.6,0.1
35,Pascal Groß,54.8,86,1.4,2,0.1
36,Michael Olise,31.3,78.4,1.6,1.3,0.1
37,Dwight McNeil,21,76.4,1.4,1,-
38,Willian,31.3,82.3,0.5,2,0.1
39,Ben Mee,44.8,77.1,-,2.9,-
40,Kenny Tete,35.9,76,0.7,1.5,-
41,Granit Xhaka,42.5,86.5,0.1,1.9,0.1
42,Lucas Paquetá,40.2,80.2,0.1,1.6,0.1
43,James Tarkowski,42.6,81.2,-,3.2,0.1
44,Ollie Watkins,14.9,69.9,0.1,0.1,-
