,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kevin De Bruyne,54.5,81.5,2.1,3.5,0.4
1,Ricardo Pereira,56.1,78.9,0.3,2.1,0.1
2,Adama Traoré,19.3,74.3,1.2,0.2,0.1
3,Riyad Mahrez,33.2,90.1,0.6,1.7,0.2
4,Sadio Mané,31.5,81.6,0.3,1,0.1
5,Mohamed Salah,28.8,76.5,0.3,0.4,0.1
6,Raheem Sterling,35.4,82.8,0.2,0.3,0.1
7,Marcus Rashford,30.4,77.3,0.3,1.2,0.2
8,James Maddison,47.5,83,1.9,2.3,0.2
9,Harry Kane,19.1,66.7,0.1,0.8,0.2
10,Virgil van Dijk,85.8,89.1,-,5.4,0.1
11,Anthony Martial,22.3,80.6,0.1,0.3,0.1
12,Willian,39.9,82.7,1.4,1.8,0.1
13,Michail Antonio,18.6,68.4,0.4,0.4,0.1
14,Allan Saint-Maximin,16.6,79.1,0.3,0.8,-
15,David Silva,54.9,89.3,0.1,1.1,0.1
16,Gabriel Jesus,17.9,86.5,0.1,0.6,-
17,Raúl Jiménez,26.1,72.2,0.1,1.2,0.1
18,Son Heung-Min,26.6,84.7,0.4,0.7,0.2
19,Jack Grealish,38.1,84.8,0.8,2.3,0.1
20,Wilfred Ndidi,52.2,85.1,-,2.5,-
21,Jamie Vardy,12.6,70.6,0.2,0.2,-
22,Trent Alexander-Arnold,64.2,76.7,2.1,5.1,-
23,Aaron Wan-Bissaka,47.1,81.3,0.4,1,-
24,Richarlison,21.9,66.6,0.1,0.6,-
25,Willy-Arnaud Boly,44.7,80.9,-,1.8,-
26,James Tarkowski,35.5,70.8,-,2.8,-
27,Christian Pulisic,26.7,79.9,0.2,0.8,-
28,Sergio Agüero,14.8,80.5,-,-,-
29,Lucas Digne,39.3,74.2,2.1,1.8,0.1
30,James Ward-Prowse,43.8,80.9,1.5,2.1,-
31,Jordan Henderson,61.9,84.5,0.3,4.2,0.1
32,Roberto Firmino,30.6,79.6,0.1,0.7,-
33,César Azpilicueta,67.6,80.7,0.8,2.2,-
34,Harry Maguire,66.3,86.7,-,4.4,-
35,Danny Ings,16.9,62.7,0.2,0.5,-
36,Andy Robertson,69.2,83.7,1.1,2.3,-
37,Rodri,73.7,92.9,0.1,4.9,0.1
38,Sébastien Haller,24,65.8,-,0.4,-
39,Emiliano Buendía,39.1,80,1.1,2.5,0.3
40,Nicolas Pépé,22.8,81.4,0.9,0.5,0.1
41,Sèrge Aurier,38.8,79.1,0.6,1,-
42,Dwight McNeil,27.1,79.1,1.8,1.5,-
