,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Robert Lewandowski,Bayern,35, FW,34,2952,35,3,2,-,4.7,77.4,1.6,8,7.89
1,Christopher Nkunku,RBL,26," M(CLR),FW",31(3),2735,20,13,2,-,2.4,81.8,0.8,10,7.64
2,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",28,2478,3,11,4,-,1,88,0.6,5,7.60
3,Erling Haaland,Borussia Dortmund,23, FW,21(3),1915,22,7,3,-,3.3,71.3,1.6,6,7.55
4,Patrik Schick,Leverkusen,28," AM(R),FW",26(1),2094,24,3,-,-,3.3,68.9,2,4,7.45
5,Florian Wirtz,Leverkusen,21," AM(CL),FW",22(2),1864,7,10,2,-,1.5,78.7,0.3,3,7.41
6,Nico Schlotterbeck,Freiburg,24, D(C),32,2789,4,1,5,-,1.1,80.6,3.4,1,7.39
7,Thomas Müller,Bayern,34," M(CLR),FW",32,2578,8,18,-,-,1.7,77,1,3,7.34
8,Alphonso Davies,Bayern,23," D(L),M(LR)",20(2),1744,-,3,3,-,0.8,84.3,0.5,2,7.31
9,Serge Gnabry,Bayern,28," AM(CLR),FW",25(9),2192,14,5,-,-,2,82,0.2,2,7.30
10,Marco Reus,Borussia Dortmund,34," M(CLR),FW",29,2514,9,12,2,-,1.8,82.8,0.3,3,7.25
11,Jonas Hofmann,Borussia M.Gladbach,31," D(R),M(CLR),FW",24(2),2082,12,5,1,-,2.1,81.8,0.2,3,7.20
12,Moussa Diaby,Leverkusen,24," M(CLR),FW",32,2773,13,12,8,1,1.7,77.2,0.2,3,7.20
13,Leroy Sané,Bayern,28," M(CLR),FW",22(10),1982,7,7,3,-,2.8,84.1,0.1,-,7.17
14,David Raum,Hoffenheim,26," D(L),M(LR)",31(1),2762,3,11,5,-,0.8,79.5,0.9,4,7.16
15,Kingsley Coman,Bayern,27," M(LR),FW",16(5),1369,6,2,1,1,2.2,84.1,0.4,1,7.13
16,Jude Bellingham,Borussia Dortmund,20, M(CLR),32,2795,3,8,9,-,1.4,83.7,0.9,1,7.12
17,Julian Brandt,Borussia Dortmund,28," M(CLR),FW",22(9),2083,9,8,3,-,1.1,82.6,0.5,4,7.12
18,Filip Kostic,Eintracht Frankfurt,31," M(LR),FW",28(3),2525,4,9,2,-,1.6,69.7,0.4,6,7.11
19,Anthony Modeste,FC Koln,36, FW,31(1),2620,20,3,4,-,3.3,65.7,3,6,7.11
20,Vincenzo Grifo,Freiburg,31, AM(CL),33(1),2792,9,7,-,-,2,79.4,0.5,4,7.10
21,Nicolas Höfler,Freiburg,34," D(C),DMC",30,2604,2,4,5,-,1.1,83.7,2.2,1,7.09
22,Leon Goretzka,Bayern,29, M(CR),19,1407,3,3,-,-,2.4,83.9,1.6,3,7.08
23,Lucas Höler,Freiburg,29," AM(CLR),FW",30(4),2598,7,2,2,-,1.8,68.4,3.7,3,7.08
24,Evan Ndicka,Eintracht Frankfurt,24, D(CL),32,2858,4,4,3,-,0.8,84.2,3.5,1,7.06
25,Danilo Soares,Bochum,32," D(L),M(L)",30,2568,-,1,4,-,0.4,75.8,1.6,2,7.06
26,Timo Hübers,FC Koln,27, D(C),20,1742,1,-,7,-,0.5,82.9,2.6,1,7.06
27,Willi Orbán,RBL,31, D(C),30,2646,2,1,1,-,0.7,89.2,3.3,2,7.06
28,Konstantinos Mavropanos,Stuttgart,26, D(CR),31,2711,4,-,3,-,1.1,80.1,2.9,5,7.05
29,Josko Gvardiol,RBL,22, D(CL),28(1),2413,2,2,7,-,0.8,84,1.8,-,7.04
30,Borna Sosa,Stuttgart,26," D(L),M(L)",28,2500,1,8,4,-,0.9,77.9,0.7,3,7.02
