,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Jude Bellingham,Borussia Dortmund,20, M(CLR),30(1),2693,8,4,8,-,2.2,83.1,1.1,6,7.58
1,Joshua Kimmich,Bayern,29," D(CR),DMC,M(R)",32(1),2815,5,6,4,1,0.8,89.7,0.5,4,7.47
2,Niclas Füllkrug,Werder Bremen,31, FW,28,2479,16,5,4,-,2.8,63.7,5.5,5,7.38
3,Christopher Nkunku,RBL,26," M(CLR),FW",20(5),1899,16,4,4,-,3,81.8,0.7,8,7.35
4,Jamal Musiala,Bayern,21, M(CLR),26(7),2212,12,10,1,-,2,85.4,0.4,4,7.34
5,Dominik Szoboszlai,RBL,23, AM(CLR),28(3),2453,6,8,3,2,1.9,83,0.2,4,7.32
6,Randal Kolo Muani,Eintracht Frankfurt,25," AM(CLR),FW",31(1),2648,15,11,4,1,2.4,67,1.9,10,7.29
7,Julian Brandt,Borussia Dortmund,28," M(CLR),FW",29(3),2412,9,8,2,-,1.3,83.8,0.3,3,7.28
8,Raphaël Guerreiro,Borussia Dortmund,30," D(L),M(CL)",26(1),2296,4,12,4,-,1.2,85.1,0.2,3,7.27
9,Vincenzo Grifo,Freiburg,31, AM(CL),30(3),2427,15,5,2,-,2,78.8,0.5,5,7.27
10,Jonas Hofmann,Borussia M.Gladbach,31," D(R),M(CLR),FW",30(1),2693,12,9,2,-,1.5,80.9,0.4,7,7.25
11,Sébastien Haller,Borussia Dortmund,29, FW,15(4),1232,9,3,1,-,1.8,70.5,2.2,1,7.21
12,Donyell Malen,Borussia Dortmund,25," AM(LR),FW",22(4),1724,9,5,-,-,2.5,80.4,0.2,3,7.20
13,Kingsley Coman,Bayern,27," M(LR),FW",16(8),1421,8,5,-,1,2,84.7,0.5,4,7.20
14,Eric Choupo-Moting,Bayern,35," M(CLR),FW",14(5),1117,10,2,-,-,1.6,77.6,0.9,3,7.19
15,Benjamin Pavard,Bayern,28," D(CLR),M(R)",27(3),2432,4,1,6,-,1.1,89.9,2.1,2,7.17
16,Alphonso Davies,Bayern,23," D(L),M(LR)",24(2),2049,1,4,-,-,0.7,87.2,0.2,2,7.14
17,Thomas Müller,Bayern,34," M(CLR),FW",21(6),1672,7,8,-,-,1.7,77.4,1.4,1,7.12
18,Jeff Chabot,FC Koln,26, D(C),21,1806,-,2,3,-,0.7,82.7,4.3,2,7.12
19,Jeremie Frimpong,Leverkusen,23," D(R),M(R)",32(2),2723,8,7,4,-,1.1,81.2,0.4,4,7.12
20,Michael Gregoritsch,Freiburg,30," AM(CR),FW",27(3),2173,10,4,6,-,2.2,56.6,4.7,5,7.11
21,Serge Gnabry,Bayern,28," AM(CLR),FW",22(12),1943,14,5,-,-,2.4,82.3,0.3,4,7.10
22,Marcus Thuram,Borussia M.Gladbach,26," AM(L),FW",28(2),2519,13,6,3,-,3.1,75.2,1.4,4,7.09
23,Leroy Sané,Bayern,28," M(CLR),FW",20(12),2012,8,7,4,-,2.4,82.8,0.2,1,7.09
24,Nico Schlotterbeck,Borussia Dortmund,24, D(C),27(1),2255,4,5,3,-,0.6,86.8,2.1,-,7.09
25,Florian Kainz,FC Koln,31, M(CLR),31(1),2372,6,10,4,1,1.7,72.6,0.3,3,7.06
26,Moussa Diaby,Leverkusen,24," M(CLR),FW",33,2716,9,8,4,-,2.4,79.2,0.1,3,7.06
27,Willi Orbán,RBL,31, D(C),33,2951,4,-,3,-,0.8,89.1,3.4,-,7.04
28,Ellyes Skhiri,FC Koln,28, DMC,32,2857,7,1,5,-,1,88.4,1.3,2,7.04
29,Maximilian Arnold,Wolfsburg,29, M(CR),32,2775,5,3,5,-,1.1,83.2,1,2,7.02
30,Frederik Rønnow,Union Berlin,31, GK,29,2610,-,-,2,-,-,66.8,0.3,3,7.01
31,Borna Sosa,Stuttgart,26," D(L),M(L)",22(3),1961,2,7,5,-,0.6,82.2,0.6,2,7.01
32,Philipp Hofmann,Bochum,31, FW,31(3),2643,8,2,5,-,1.5,58.9,6.3,3,7.00
33,Konstantinos Mavropanos,Stuttgart,26, D(CR),26(2),2288,2,1,7,1,1.7,83.5,2.9,2,7.00
34,Paulo Otávio,Wolfsburg,29," D(L),M(L)",25,2051,-,5,7,-,0.8,75.2,1.1,1,7.00
35,Marvin Ducksch,Werder Bremen,30," AM(C),FW",34,2867,12,6,4,-,2.8,69.2,0.7,2,7.00
36,Patrick Wimmer,Wolfsburg,22," AM(LR),FW",23(3),1665,4,8,7,-,1.2,65.5,0.8,-,6.99
37,Jonas Hector,FC Koln,33," D(L),M(CL)",32,2826,-,2,3,-,0.8,79.7,1.8,1,6.99
38,Danilho Doekhi,Union Berlin,25, D(C),25,2218,5,1,-,-,0.7,80,2.4,4,6.99
39,Mats Hummels,Borussia Dortmund,35, D(C),24(6),2022,1,-,4,-,0.6,87.7,2.4,-,6.98
40,Wataru Endo,Stuttgart,31, DMC,33,2925,5,4,3,-,1.4,79.7,2.3,1,6.97
41,Ramy Bensebaïni,Borussia M.Gladbach,29," D(CL),DMC,M(L)",28,2487,6,1,5,1,1.5,77.8,2.5,1,6.96
42,Matthias Ginter,Freiburg,30," D(CR),DMC",34,3060,4,1,3,-,0.6,82.9,3.5,1,6.95
43,Mitchell Weiser,Werder Bremen,30," D(R),M(R)",29(1),2520,2,9,7,-,0.9,70,0.8,2,6.93
44,Matthijs de Ligt,Bayern,24, D(C),27(4),2405,3,1,4,-,0.7,91.3,3.1,-,6.93
45,Dani Olmo,RBL,25," AM(CLR),FW",15(8),1285,2,5,2,-,1.9,77.4,0.3,2,6.92
46,Christoph Baumgartner,Hoffenheim,24," AM(CLR),FW",33,2582,7,3,7,-,2,68.3,2.2,1,6.91
47,Sheraldo Becker,Union Berlin,29," AM(CLR),FW",33(1),2582,11,7,4,-,2,68.9,0.5,3,6.91
48,Rodrigo Zalazar,Schalke,24, M(CR),15(7),1326,1,6,4,-,1.7,68.6,1.1,3,6.90
49,Ritsu Doan,Freiburg,25," M(CLR),FW",30(3),2445,5,4,3,-,1.7,72.2,0.3,-,6.90
50,Timo Hübers,FC Koln,27, D(C),28(1),2558,3,-,8,-,0.5,82.4,3.3,1,6.89
51,Leon Goretzka,Bayern,29, M(CR),22(5),1738,3,2,5,-,1.5,82.8,1.7,1,6.89
52,Emre Can,Borussia Dortmund,30," D(CLR),DMC",20(7),1896,2,1,8,-,0.6,89.7,1.1,1,6.88
53,Lucas Tousart,Hertha Berlin,27, DMC,33,2948,5,2,1,-,1.3,61.7,2.8,3,6.87
54,Robin Knoche,Union Berlin,31, D(C),32,2874,2,3,4,-,0.3,81.3,1.8,1,6.87
55,Marc Oliver Kempf,Hertha Berlin,29, D(C),31,2713,1,-,5,-,0.5,78,4.3,1,6.87
56,Noussair Mazraoui,Bayern,26, D(LR),11(8),1072,1,4,-,-,0.4,86.9,0.9,-,6.86
57,Konrad Laimer,RBL,26," D(R),M(CR)",17(4),1474,3,-,8,-,1,80.5,0.1,1,6.86
58,Felix Nmecha,Wolfsburg,23, M(C),19(11),1841,3,5,3,-,1.2,76.7,1.5,1,6.86
59,Karim Adeyemi,Borussia Dortmund,22," AM(LR),FW",20(4),1399,6,5,9,-,1.6,77.2,0.4,1,6.86
60,Sadio Mané,Bayern,32," AM(CLR),FW",18(7),1432,7,5,2,-,2.2,76.4,0.9,-,6.86
61,Anton Stach,Mainz,25, M(C),22(8),2078,1,4,4,-,1.2,72.2,2.4,1,6.85
62,Dodi Lukébakio,Hertha Berlin,26," AM(CLR),FW",27(5),2407,11,3,8,-,2,73.9,0.5,3,6.85
63,Robert Andrich,Leverkusen,29," D(C),M(C)",28(1),2409,2,2,8,-,1,83.9,1.9,-,6.85
64,Lucas Höler,Freiburg,29," AM(CLR),FW",16(10),1508,5,2,1,-,1.2,66.3,2.7,2,6.84
65,Kevin Stöger,Bochum,30, M(CL),29(3),2610,5,3,3,-,1.5,74.2,0.3,2,6.84
66,Kevin Behrens,Union Berlin,33, FW,17(16),1536,8,1,6,-,1.1,59.6,5.4,4,6.83
67,Ihlas Bebou,Hoffenheim,30," M(CLR),FW",17(2),1423,7,-,2,-,1.5,68.3,1.5,3,6.83
68,Karim Onisiwo,Mainz,32," AM(CLR),FW",28(3),2549,10,2,4,-,2.2,60.1,1.8,2,6.82
69,Timo Werner,RBL,28," AM(CLR),FW",23(4),1948,9,3,2,-,2.3,76.6,0.2,4,6.82
70,Exequiel Palacios,Leverkusen,25, M(C),19(6),1656,4,2,4,-,0.8,85.4,0.5,3,6.82
71,Marius Wolf,Borussia Dortmund,28," D(R),M(CLR)",17(8),1570,1,1,2,-,0.9,80,0.2,3,6.81
72,Aurélio Buta,Eintracht Frankfurt,27," D(R),M(R)",15(3),1325,3,2,3,-,0.5,77.9,1.2,-,6.81
73,Manu Koné,Borussia M.Gladbach,22, DMC,30,2620,1,1,12,-,0.9,87.3,0.5,-,6.81
74,Philipp Lienhart,Freiburg,27, D(C),27(2),2498,1,-,3,-,0.6,85.4,2.2,1,6.81
75,Lukas Kübler,Freiburg,31," D(CLR),M(R)",19(3),1648,2,1,1,-,0.4,70.1,1.1,-,6.81
76,Lars Stindl,Borussia M.Gladbach,35," M(CLR),FW",20(9),1745,8,7,9,-,1.7,81.6,0.3,-,6.81
77,Daichi Kamada,Eintracht Frankfurt,27," AM(CLR),FW",25(7),2271,9,6,3,-,1.4,83.3,0.6,2,6.80
