Name,Position,Date of Birth,Age,Nationality,Market Value
Neto,Goalkeeper,,33,Brazil,€2.50m
Mark Travers,Goalkeeper,,24,Ireland,€2.00m
Darren Randolph,Goalkeeper,,36,Ireland,€400k
Will Dennis,Goalkeeper,,22,England,€150k
Cameron Plain,Goalkeeper,,21,England,€100k
Marcos Senesi,Centre-Back,,26,Argentina,€22.00m
Ilya Zabarnyi,Centre-Back,,20,Ukraine,€20.00m
Lloyd Kelly,Centre-Back,,24,England,€18.00m
Chris Mepham,Centre-Back,,25,Wales,€8.00m
Jack Stephens,Centre-Back,,29,England,€3.50m
James Hill,Centre-Back,,21,England,€1.00m
Chris Francis,Centre-Back,,20,England,-
Owen Bevan,Centre-Back,,19,Wales,-
Maxwell Kinsey-Wellings,Centre-Back,,18,England,-
Matías Viña,Left-Back,,25,Uruguay,€8.00m
Jordan Zemura,Left-Back,,23,Zimbabwe,€6.00m
Ben Greenwood,Left-Back,,20,Ireland,€100k
Jack Stacey,Right-Back,,27,England,€2.00m
Ryan Fredericks,Right-Back,,30,England,€1.50m
Adam Smith,Right-Back,,32,England,€1.20m
Brooklyn Genesini,Right-Back,,21,England,€50k
Jefferson Lerma,Defensive Midfield,,28,Colombia,€20.00m
Ben Pearson,Defensive Midfield,,28,England,€2.20m
Jack Wadham,Midfielder,,20,England,€100k
Philip Billing,Central Midfield,,27,Denmark,€20.00m
Lewis Cook,Central Midfield,,26,England,€10.00m
Joe Rothwell,Central Midfield,,28,England,€4.00m
Gavin Kilkenny,Central Midfield,,23,Ireland,€400k
Hamed Junior Traorè,Attacking Midfield,,23,Cote d'Ivoire,€22.00m
Ryan Christie,Attacking Midfield,,28,Scotland,€10.00m
Emiliano Marcondes,Attacking Midfield,,28,Denmark,€1.50m
Ferdinand Okoh,Attacking Midfield,,19,England,-
Marcus Tavernier,Left Winger,,24,England,€17.00m
Jaidon Anthony,Left Winger,,23,England,€9.00m
Siriki Dembélé,Left Winger,,26,Scotland,€2.00m
Junior Stanislas,Left Winger,,33,England,€500k
Dominic Sadi,Left Winger,,19,England,€100k
Michael Dacosta,Left Winger,,18,Spain,-
Dango Ouattara,Right Winger,,21,Burkina Faso,€25.00m
David Brooks,Right Winger,,25,Wales,€12.00m
Antoine Semenyo,Right Winger,,23,Ghana,€9.00m
Dominic Solanke,Centre-Forward,,25,England,€20.00m
Kieffer Moore,Centre-Forward,,30,Wales,€4.00m
Jamal Lowe,Centre-Forward,,28,Jamaica,€1.50m
Christian Saydee,Centre-Forward,,21,England,€400k
Euan Pollock,Centre-Forward,,20,England,-
Daniel Adu-Adjei,Centre-Forward,,18,England,-
