Name,Position,Date of Birth,Age,Nationality,Market Value
Danny Ward,Goalkeeper,,30,Wales,€6.00m
Daniel Iversen,Goalkeeper,,25,Denmark,€5.00m
Alex Smithies,Goalkeeper,,33,England,€500k
Wesley Fofana,Centre-Back,,22,France,€55.00m
Wout Faes,Centre-Back,,25,Belgium,€20.00m
Çağlar Söyüncü,Centre-Back,,27,Türkiye,€15.00m
Harry Souttar,Centre-Back,,24,Australia,€15.00m
Daniel Amartey,Centre-Back,,28,Ghana,€12.00m
Jannik Vestergaard,Centre-Back,,30,Denmark,€4.00m
Jonny Evans,Centre-Back,,35,Northern Ireland,€2.00m
Lewis Brunt,Centre-Back,,22,England,€100k
Victor Kristiansen,Left-Back,,20,Denmark,€12.00m
Luke Thomas,Left-Back,,22,England,€12.00m
Ryan Bertrand,Left-Back,,33,England,€800k
Timothy Castagne,Right-Back,,27,Belgium,€25.00m
James Justin,Right-Back,,25,England,€20.00m
Ricardo Pereira,Right-Back,,29,Portugal,€10.00m
Joe Wormleighton,Right-Back,,19,England,€100k
Wilfred Ndidi,Defensive Midfield,,26,Nigeria,€25.00m
Boubakary Soumaré,Defensive Midfield,,24,France,€20.00m
Hamza Choudhury,Defensive Midfield,,25,England,€5.00m
Nampalys Mendy,Defensive Midfield,,31,Senegal,€2.50m
Sammy Braybrooke,Defensive Midfield,,19,England,€250k
Youri Tielemans,Central Midfield,,26,Belgium,€25.00m
Kiernan Dewsbury-Hall,Central Midfield,,24,England,€25.00m
Dennis Praet,Central Midfield,,29,Belgium,€7.00m
Marc Albrighton,Right Midfield,,33,England,€1.00m
James Maddison,Attacking Midfield,,26,England,€60.00m
Will Alves,Attacking Midfield,,18,England,-
Harvey Barnes,Left Winger,,25,England,€35.00m
Ayoze Pérez,Left Winger,,29,Spain,€6.00m
Tetê,Right Winger,,23,Brazil,€25.00m
Kasey McAteer,Right Winger,,21,England,€250k
Wanya Marçal,Right Winger,,20,Portugal,-
Kelechi Iheanacho,Centre-Forward,,26,Nigeria,€18.00m
Patson Daka,Centre-Forward,,24,Zambia,€18.00m
Jamie Vardy,Centre-Forward,,36,England,€2.50m
George Hirst,Centre-Forward,,24,England,€800k
