,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Real Madrid,80,17.3,76,0,60.1,89.0,10.5,6.90
1,Barcelona,68,13.6,91,5,64.7,88.3,12.2,6.77
2,Real Betis,62,13.6,85,6,53.8,82.5,13.4,6.72
3,Villarreal,63,12,79,1,56.8,83.6,13,6.72
4,Atletico Madrid,65,12.2,106,7,50.2,81.1,15,6.68
5,Sevilla,53,11.4,94,4,59.9,84.7,15.7,6.65
6,Real Sociedad,40,11.6,76,4,54.6,81.8,18.1,6.64
7,Celta Vigo,43,10.8,85,3,55.4,79.8,16,6.62
8,Athletic Club,43,12.3,84,4,47.5,77.1,15.7,6.59
9,Rayo Vallecano,39,13.3,100,3,49.4,77.6,17.6,6.56
10,Osasuna,37,11.4,83,2,46.1,74.4,21.7,6.55
11,Getafe,33,10.8,119,8,40.4,72.3,19.3,6.55
12,Valencia,48,10.6,123,8,43.3,71.9,15.1,6.54
13,Cadiz,35,10.8,100,3,40.5,73.6,16.1,6.53
14,Espanyol,40,10.7,93,7,46.7,81.1,12.1,6.52
15,Granada,44,11.2,103,4,43.9,72.9,16.2,6.52
16,Elche,40,8.8,103,6,48.0,79.2,14.3,6.51
17,Mallorca,36,11.8,105,7,44.6,76.0,17.4,6.48
18,Deportivo Alaves,31,10,87,4,41.3,70.3,23.1,6.46
19,Levante,51,11.7,105,6,46.6,78.3,11.9,6.46
