,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Dr. Felix Brych,18,22.67,0.68,0.22,4.28,77,0.33,6
1,Deniz Aytekin,16,24.38,0.78,0.13,3.81,61,0.13,2
2,Tobias Stieler,16,25.19,0.81,0.31,2.94,47,0.38,6
3,Daniel Siebert,16,21.19,0.64,0.19,4.25,68,0.19,3
4,Harm Osmers,15,22.53,0.68,0.07,3.4,51,0.13,2
5,Felix Zwayer,15,23.6,0.73,0.13,3.93,59,0.13,2
6,Manuel Gräfe,15,19.27,0.51,0.07,2.33,35,0.2,3
7,Marco Fritz,15,24.47,0.74,0.33,3.67,55,0.13,2
8,Sascha Stegemann,15,23.27,0.6,0.13,4.47,67,0.13,2
9,Bastian Dankert,14,27.93,0.93,0.21,3.43,48,0.14,2
10,Christian Dingert,13,22.62,0.68,0.31,4.23,55,0.15,2
11,Markus Schmidt,13,22.92,0.68,0.08,3.92,51,0.23,3
12,Frank Willenborg,12,23.5,0.81,0.08,4.33,52,0.0,0
13,Sven Jablonski,12,27.17,0.85,0.17,4.5,54,0.08,1
14,Benjamin Cortus,12,26.58,0.76,0.25,3.17,38,0.0,0
15,Guido Winkmann,11,23.45,0.73,0.45,3.82,42,0.27,3
16,Robert Hartmann,10,22.7,0.82,0.3,3.0,30,0.3,3
17,Patrick Ittrich,10,28.8,0.94,0.5,4.1,41,0.4,4
18,Martin Petersen,10,28.1,0.83,0.2,3.7,37,0.1,1
19,Daniel Schlager,10,25.0,0.67,0.2,4.2,42,0.0,0
20,Robert Schröder,8,27.63,0.85,0.13,3.38,27,0.25,2
21,Bibiana Steinhaus-Webb,8,24.5,0.86,0.13,3.5,28,0.0,0
22,Sören Storks,8,25.5,0.94,0.75,3.63,29,0.38,3
23,Tobias Welz,7,29.71,0.95,0.86,4.57,32,0.43,3
24,Dr. Robert Kampka,6,26.33,0.76,0.5,4.5,27,0.0,0
25,Benjamin Brand,1,16.0,0.52,0.0,1.0,1,0.0,0
