,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Dr. Felix Brych,17,24.41,0.74,0.35,2.59,44,0.06,1
1,Manuel Gräfe,17,21.94,0.78,0.24,2.71,46,0.06,1
2,Felix Zwayer,16,24.94,0.78,0.31,3.94,63,0.06,1
3,Daniel Siebert,16,20.94,0.64,0.19,3.38,54,0.06,1
4,Tobias Stieler,15,24.6,0.88,0.47,3.0,45,0.2,3
5,Sascha Stegemann,15,24.8,0.76,0.2,3.6,54,0.13,2
6,Bastian Dankert,14,28.07,0.88,0.36,5.57,78,0.07,1
7,Harm Osmers,14,24.71,0.78,0.36,2.86,40,0.0,0
8,Sven Jablonski,14,23.71,0.74,0.64,2.43,34,0.0,0
9,Markus Schmidt,14,21.86,0.74,0.36,4.07,57,0.43,6
10,Guido Winkmann,14,23.64,0.73,0.14,3.79,53,0.0,0
11,Robert Schröder,13,27.15,0.96,0.31,4.0,52,0.15,2
12,Marco Fritz,13,25.08,0.75,0.23,3.23,42,0.0,0
13,Christian Dingert,12,24.0,0.82,0.42,4.25,51,0.17,2
14,Daniel Schlager,12,24.75,0.78,0.42,3.42,41,0.33,4
15,Frank Willenborg,11,25.09,0.79,0.45,4.36,48,0.09,1
16,Benjamin Cortus,11,28.09,1.07,0.36,4.64,51,0.09,1
17,Robert Hartmann,10,26.3,0.81,0.4,3.6,36,0.1,1
18,Martin Petersen,10,21.9,0.75,0.1,3.9,39,0.3,3
19,Sören Storks,10,27.3,0.92,0.2,3.4,34,0.0,0
20,Florian Badstübner,10,25.4,0.85,0.6,3.2,32,0.0,0
21,Patrick Ittrich,9,25.78,0.87,0.56,3.0,27,0.22,2
22,Deniz Aytekin,5,27.8,0.96,0.8,4.4,22,0.2,1
23,D.M. Jöllenbeck,5,25.8,0.95,0.6,2.2,11,0.0,0
24,Tobias Reichel,5,26.2,0.83,0.8,2.2,11,0.0,0
25,Benjamin Brand,4,25.0,0.65,0.5,4.0,16,0.0,0
