,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Lionel Messi,25,21,4.8,5.5,2.1,0.4,2.4,2.4
1,Casemiro,4,3,1.3,0.8,1.9,0.1,0.8,0.8
2,Karim Benzema,21,8,3.4,1,0.4,0.7,1.1,1.1
3,Luis Suárez,16,8,2.8,0.8,0.9,0.6,0.9,0.9
4,Mikel Merino,5,1,1.2,1,2.5,0.1,1.4,1.4
5,Gerard Moreno,18,5,2.5,1.7,1.4,0.5,1.3,1.3
6,Nabil Fekir,7,4,3.2,3.1,3.5,0.4,1.9,1.9
7,Saúl Ñíguez,6,-,1.3,0.8,0.7,0.2,0.9,0.9
8,Joselu,11,2,2.4,0.4,1.6,0.2,1.2,1.2
9,Lucas Ocampos,14,3,2.5,2.1,1.7,0.4,2.2,2.2
10,Raúl García,15,1,2.3,0.3,1.7,0.5,0.4,0.4
11,Toni Kroos,4,5,1.6,0.9,1.2,0.1,0.4,0.4
12,Dani Carvajal,1,5,0.6,0.8,1,0.1,0.8,0.8
13,Santi Cazorla,11,9,1.4,1.4,1.1,0.1,0.9,0.9
14,Chimy Ávila,9,2,3.5,0.8,2.2,1.2,1.5,1.5
15,Rafinha,4,1,1.1,2.1,3.4,0.1,1.7,1.7
16,Martin Ødegaard,4,6,1.6,2,1.2,-,1.2,1.2
17,Éver Banega,3,7,1.2,1.8,1.7,0.1,1.2,1.2
18,Sergio Reguilón,2,4,0.9,1.6,1.5,0.1,0.8,0.8
19,Thomas Partey,3,-,0.9,1.6,0.9,-,0.4,0.4
20,Sergio Ramos,11,-,1.1,0.3,0.8,0.2,0.1,0.1
21,Sergio Busquets,2,2,0.3,0.7,1.5,-,0.4,0.4
22,Frank Anguissa,2,-,0.8,2.4,1.1,-,1.3,1.3
23,Mikel Oyarzabal,10,11,1.7,1.8,1.5,0.4,1.4,1.4
24,Gerard Piqué,1,-,0.4,0.2,0.5,-,0.3,0.3
25,Koke,4,5,0.7,0.4,1,-,1.1,1.1
26,Dani Parejo,8,3,1,1.1,2.6,0.1,0.9,0.9
27,Luka Modric,3,7,1,1.4,0.9,-,0.9,0.9
28,Ferland Mendy,1,2,0.3,2,1.2,-,0.7,0.7
29,José Campaña,2,7,1.2,1.7,1.6,0.1,0.9,0.9
30,Yeray Álvarez,-,-,0.4,0.4,1,-,0.2,0.2
31,Kieran Trippier,-,4,0.1,0.5,0.5,0.1,0.4,0.4
32,Iago Aspas,14,3,2.3,1.4,1.8,0.5,1.2,1.2
33,Raphaël Varane,2,1,0.3,0.3,0.4,-,0.1,0.1
34,Aitor Fernández,-,-,-,-,0.1,-,0.1,0.1
35,Antoine Griezmann,9,4,1.6,0.6,0.6,0.5,0.6,0.6
36,Felipe,1,-,0.8,0.2,0.6,-,0.1,0.1
37,Fernando,2,3,0.4,0.4,0.6,0.1,0.2,0.2
38,Yangel Herrera,2,3,1.1,0.6,1.9,0.1,1.2,1.2
39,Munir El Haddadi,5,2,2.1,0.9,2.1,0.4,1.4,1.4
40,Joan Jordán,2,2,0.9,1.2,1.1,0.1,0.6,0.6
41,Yuri Berchiche,2,1,1.1,1.3,1.5,0.1,0.7,0.7
42,Ante Budimir,13,2,1.6,0.6,1.7,0.5,1,1
43,Fabián Orellana,8,7,1.4,2.4,1.9,0.3,3.2,3.2
44,Pervis Estupiñán,1,5,0.5,1.6,1.1,0.1,0.9,0.9
45,Diego Carlos,2,-,0.6,0.2,0.3,0.1,0.1,0.1
46,Darwin Machís,7,5,2,1.5,1.2,0.3,0.8,0.8
47,Iñigo Martínez,1,1,0.8,0.2,1.1,0.1,0.1,0.1
48,Marc Bartra,3,1,0.8,0.5,0.9,-,0.3,0.3
49,Clément Lenglet,2,1,0.4,0.2,0.9,0.1,0.2,0.2
50,Rubén García,8,2,1.9,1,0.9,0.2,1.1,1.1
51,Cote,1,1,0.9,1,0.5,-,0.4,0.4
52,Joaquín,8,3,1,1.6,0.8,0.2,0.8,0.8
53,Álvaro Morata,12,2,2,0.6,1.7,1.1,1.4,1.4
54,Jesús Navas,-,7,0.3,1,0.7,0.1,0.4,0.4
55,Sergio Canales,6,6,1.4,1.4,1.3,0.1,1.4,1.4
56,Ander Capa,3,4,0.5,1.6,0.4,0.2,0.6,0.6
57,Jordi Alba,2,5,0.3,0.4,0.7,0.2,0.2,0.2
58,Jules Koundé,1,1,0.8,0.6,0.4,-,0.2,0.2
59,Rubén Rochina,4,4,2.1,1.8,1.7,0.1,1.4,1.4
60,Cucho Hernández,5,1,2,1.4,1.7,0.2,1.5,1.5
61,Víctor Díaz,1,5,0.4,0.3,0.3,-,0.1,0.1
62,Luuk de Jong,6,1,1.6,0.2,1.1,0.4,0.6,0.6
63,Denis Suárez,1,5,0.7,2.3,1.2,-,1.7,1.7
64,Sergi Roberto,1,2,0.2,0.6,1.3,0.1,0.7,0.7
65,Rubén Alcaraz,2,2,1.2,0.9,2.1,-,0.6,0.6
66,Frenkie de Jong,2,2,0.1,1.6,1.1,-,1,1
67,Thibaut Courtois,-,-,-,-,0.1,-,-,-
68,Damián Suárez,1,4,0.7,0.8,1.5,-,0.2,0.2
69,Carlos Fernández,10,3,1.4,0.9,1.3,0.2,1,1
70,Arthur,3,3,0.4,1.5,2.1,-,0.9,0.9
71,Joaquín Fernández,2,-,0.5,0.4,0.4,0.3,0.3,0.3
72,Roberto Torres,7,8,2.2,0.6,0.9,-,0.6,0.6
73,Arturo Vidal,8,2,0.8,0.2,0.7,0.2,0.5,0.5
74,Sergio Asenjo,-,-,-,-,0.2,-,-,-
75,Jason,1,4,1.4,1.2,1.6,0.1,0.9,0.9
76,Marc Cucurella,1,5,0.8,0.6,1.7,0.2,0.9,0.9
77,Pedro Bigas,3,-,0.3,-,0.8,0.1,-,-
78,Kévin Rodrigues,1,2,0.9,1.4,1.1,0.1,1.1,1.1
79,Emerson Royal,3,6,0.8,0.4,2.9,-,0.8,0.8
80,Okay Yokuslu,-,2,0.5,0.8,0.7,-,1.2,1.2
81,José Giménez,-,-,0.5,0.1,0.7,0.1,0.1,0.1
82,Joseba Zaldúa,-,2,0.2,0.6,2,-,0.3,0.3
83,Óscar Rodríguez,9,2,2.1,1.4,1.3,-,0.6,0.6
84,Maxime Gonalons,-,-,0.3,0.7,1.3,-,0.4,0.4
