,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,14.8,6.2,12.7,12.5
1,Barcelona,13,5.9,13.8,13.9
2,Villarreal,13,4.6,11.3,11.1
3,Sevilla,12.9,4.6,10.9,12.6
4,Real Betis,12.6,4.2,11.7,15.2
5,Osasuna,12.2,3.9,8.3,10.8
6,Atletico Madrid,11.8,3.8,9.1,12.6
7,Leganes,11.4,3.9,9,13.2
8,Real Sociedad,11.3,3.8,9.3,12.9
9,Eibar,11.3,3.8,6.8,10.8
10,Levante,11.2,3.7,10.2,12.1
11,Mallorca,11.1,3.4,10.3,13.8
12,Getafe,10.9,3.4,7.2,13
13,Athletic Club,10.8,3.6,8.9,11.5
14,Espanyol,10.8,3.3,7.4,12.3
15,Granada,10.4,3.3,7.9,13.1
16,Real Valladolid,9.9,3.2,8.9,13.9
17,Celta Vigo,9.7,3.8,9.7,13.9
18,Valencia,8.9,3.2,9.1,14.3
19,Deportivo Alaves,8.2,2.8,6.6,11.4
