,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,X.E. Fernández,22,26.82,0.95,0.55,3.91,86,0.14,3
1,C.d.C. Grande,21,26.05,0.97,0.52,5.0,105,0.29,6
2,Pablo González Fuertes,21,31.19,1.24,0.14,5.05,106,0.24,5
3,G.C. Fernández,21,25.29,0.96,0.38,3.48,73,0.14,3
4,J.L.M. Montero,20,23.1,0.82,0.1,2.6,52,0.15,3
5,Javier Alberola Rojas,20,24.85,0.78,0.25,3.15,63,0.0,0
6,R. deB. Bengoetxea,19,24.37,0.83,0.21,4.63,88,0.21,4
7,Jesús Gil Manzano,19,26.47,0.97,0.79,4.74,90,0.16,3
8,Santiago Jaime Latre,19,27.21,0.98,0.37,4.37,83,0.21,4
9,César Soto Grado,19,26.21,0.95,0.47,4.53,86,0.05,1
10,I.D. deM. Escuderos,19,24.84,0.91,0.58,4.42,84,0.32,6
11,A.M.M. Lahoz,18,26.06,0.86,0.17,4.61,83,0.17,3
12,J.M.S. Martínez,18,29.78,1.05,0.28,5.72,103,0.17,3
13,Mario Melero López,18,31.83,1.11,0.39,4.06,73,0.06,1
14,David Medié Jiménez,18,26.78,0.89,0.39,4.89,88,0.5,9
15,Adrián Cordero Vega,18,25.0,0.86,0.33,4.17,75,0.39,7
16,Valentín Pizarro Gómez,18,23.83,0.91,0.39,4.06,73,0.33,6
17,Jorge Figueroa Vázquez,18,27.11,0.94,0.33,3.61,65,0.22,4
18,Juan Martínez Munuera,17,26.24,0.91,0.53,4.41,75,0.18,3
19,A.J.H. Hernández,17,27.12,0.9,0.24,5.18,88,0.06,1
