,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,J.M.S. Martínez,22,27.0,0.87,0.14,5.09,112,0.14,3
1,César Soto Grado,21,27.24,0.93,0.29,5.29,111,0.14,3
2,A.M.M. Lahoz,20,28.55,0.91,0.3,4.85,97,0.15,3
3,Jesús Gil Manzano,20,25.85,0.9,0.5,4.85,97,0.3,6
4,Santiago Jaime Latre,20,27.05,0.86,0.1,4.6,92,0.15,3
5,A.J.H. Hernández,20,26.85,0.81,0.35,6.4,128,0.35,7
6,I.D. deM. Escuderos,20,26.65,0.84,0.4,6.45,129,0.25,5
7,J.L.M. Montero,20,25.45,0.77,0.4,4.1,82,0.2,4
8,Pablo González Fuertes,20,28.6,0.94,0.4,4.45,89,0.5,10
9,R. deB. Bengoetxea,19,25.26,0.77,0.47,4.37,83,0.11,2
10,C.d.C. Grande,19,28.16,0.87,0.42,5.68,108,0.21,4
11,Alejandro Muñiz Ruiz,19,27.42,0.94,0.37,5.53,105,0.26,5
12,Javier Alberola Rojas,19,25.79,0.82,0.42,3.63,69,0.21,4
13,Adrián Cordero Vega,19,27.68,0.97,0.47,5.84,111,0.16,3
14,Jorge Figueroa Vázquez,19,26.63,0.92,0.21,4.26,81,0.26,5
15,Valentín Pizarro Gómez,18,24.0,0.74,0.5,4.72,85,0.28,5
16,M.Á.O. Arias,17,24.18,0.76,0.29,4.41,75,0.47,8
17,Mario Melero López,17,26.65,0.79,0.41,4.29,73,0.06,1
18,Juan Martínez Munuera,16,25.19,0.79,0.31,4.69,75,0.38,6
19,G.C. Fernández,15,23.87,0.85,0.2,6.33,95,0.33,5
