,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Domenico Berardi,Sassuolo,29," AM(R),FW",33,2838,15,14,9,-,3.3,74.8,0.5,8,7.43
1,Rafael Leão,AC Milan,24," AM(CL),FW",31(3),2621,11,8,4,-,2.9,74.8,0.8,2,7.37
2,Sergej Milinkovic-Savic,Lazio,29, AM(C),36(1),3111,11,11,4,1,2,81.4,2.8,7,7.36
3,Lorenzo Pellegrini,Roma,27, M(CL),27(1),2300,9,5,6,1,3.3,77.7,0.6,6,7.34
4,Dusan Vlahovic,Fiorentina,24, FW,21,1862,17,2,2,-,3.6,70.6,2,5,7.33
5,Ciro Immobile,Lazio,34, FW,31,2718,27,2,4,-,3.8,78,0.7,2,7.31
6,Luis Muriel,Atalanta,33," AM(CL),FW",17(10),1543,9,8,1,-,2.1,75.6,1.1,4,7.30
7,Hakan Çalhanoglu,Inter,30," M(CLR),FW",33(1),2509,7,12,11,-,1.9,86.8,0.3,5,7.28
8,Victor Osimhen,Napoli,25, FW,23(4),1993,14,2,5,1,3.4,70.5,1.9,4,7.22
9,Ivan Perisic,Inter,35," M(CLR),FW",35,2844,8,7,4,-,1.3,76.3,1.6,5,7.22
10,Paulo Dybala,Juventus,30," AM(CR),FW",26(3),2074,10,5,3,-,3.4,84.3,0.3,5,7.22
11,Bremer,Torino,27, D(C),33,2895,3,1,7,-,0.8,81.6,4,4,7.22
12,Gianluca Caprari,Verona,30," AM(CLR),FW",33(2),2755,12,7,4,-,1.9,80.5,0.2,6,7.20
13,Juan Cuadrado,Juventus,35," D(R),M(CLR),FW",28(5),2496,4,4,9,-,1.1,88.7,0.6,5,7.19
14,Lautaro Martínez,Inter,26, FW,28(7),2302,21,3,6,-,3.4,74.7,0.8,4,7.18
15,Tammy Abraham,Roma,26, FW,36(1),3099,17,4,9,-,2.6,71,2.1,4,7.17
16,Théo Hernández,AC Milan,26," D(CL),M(L)",30(2),2713,5,6,5,2,1.3,83.8,0.8,4,7.16
17,Marcelo Brozovic,Inter,31, M(CR),35,2951,2,1,7,-,0.9,92.5,0.4,2,7.13
18,Nicolò Barella,Inter,27, AM(C),36,2933,3,12,9,-,1.9,85.1,0.6,2,7.13
