,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,60.3,83.1,1.1,2.7,1.2
1,Kylian Mbappé,37.9,82.9,0.4,0.6,0.2
2,Neymar,59.4,82.7,0.9,2.2,0.5
3,Alexandre Lacazette,24.9,75.5,0.1,0.8,0.1
4,Rémy Cabella,49.1,84.3,1.6,0.9,0.2
5,Téji Savanier,47.3,77.9,1.7,4.9,0.1
6,Enzo Le Fée,56.1,84.7,0.9,3,0.1
7,Jonathan David,23.2,82.7,0.1,0.4,0.1
8,Benjamin André,67.6,84.3,-,5.2,0.1
9,Benjamin Lecomte,29.9,60,-,7.5,-
10,Benjamin Bourigeaud,46.6,80.8,2,3.1,0.2
11,Florian Sotoca,36.6,80.1,0.5,2.2,0.2
12,Amine Gouiri,22.1,79.8,0.2,0.5,0.1
13,Gaëtan Laborde,19.3,71,0.5,0.3,0.1
14,Aleksandr Golovin,28.4,74.8,1,1.3,0.1
15,Seko Fofana,50.3,89.3,0.4,2.1,0.1
16,Andrei Girotto,48.1,83,0.1,4.4,-
17,Edon Zhegrova,23.1,82.5,1.1,0.6,0.1
18,Branco van den Boomen,54.2,83,2.5,7.3,0.2
19,Jérémy Doku,17,86.4,0.2,0.2,-
20,Jean-Ricner Bellegarde,36.3,81.6,1.5,1.5,0.1
21,Steve Mounié,19.3,56.2,-,0.1,-
22,Wissam Ben Yedder,18.2,76.5,0.1,0.3,-
23,Fabien Centonze,32,79.3,0.6,1.4,-
24,Nuno Mendes,35.9,86.9,0.3,0.6,0.1
25,Maxence Caqueret,46.5,86.3,0.8,1.4,0.1
26,Alexis Sánchez,25.3,75.8,0.2,1.3,0.1
27,Habib Diallo,15.8,67.7,-,0.3,0.1
28,Nabil Bentaleb,58.3,85.2,0.7,4,0.1
29,Przemyslaw Frankowski,36.1,82.1,1.7,1.4,-
30,Ludovic Blas,28,85.5,0.9,1.6,-
31,Valentin Rongier,58,88.5,0.1,2.6,0.1
32,Franck Honorat,24.6,75,2.2,0.7,-
33,Loïs Openda,10.6,71.2,0.1,0.2,0.1
34,Rayan Cherki,28.8,81,0.9,1.5,0.2
35,Pierre Lees-Melou,44.2,83.9,0.2,5.5,0.1
36,Hicham Boudaoui,44.4,89.7,0.2,1.1,-
37,Nicolas Pépé,33.6,83.1,0.9,0.7,0.1
38,Jonathan Clauss,33.4,75.8,0.9,1.4,0.1
39,Jonathan Gradit,62.5,90.2,0.2,3.1,0.1
40,Dante,71,90.1,-,4.2,0.1
41,Yunis Abdelhamid,54.3,83.1,-,2.9,-
42,Rasmus Nicolaisen,51.7,84.3,-,3.6,-
43,Achraf Hakimi,49.8,90.2,0.6,0.5,-
44,Yehvann Diouf,28,76.4,-,6.2,-
45,Kevin Danso,62.9,90.1,-,2.6,-
46,Bradley Barcola,16.9,72.4,0.2,0.2,-
47,Marco Verratti,87.5,92.9,0.1,2.8,0.2
48,Vanderson,35.2,77.9,0.7,2.2,-
