,Name,AvgP,PSp,Crosses,LonB,ThrB
108,Andrei Girotto,40,79.3,0.1,2.2,-
109,Ibrahima Sissoko,38.4,80.5,0.2,2.1,-
110,Hilton,41.7,82.1,0.1,6.6,-
111,Jonathan Ikoné,24.1,73.8,0.1,0.8,0.1
112,Júlio Tavares,19.7,58.6,0.1,0.3,-
113,Dimitri Payet,31.5,77.5,2,1.4,0.2
114,Brice Samba,27.7,58.4,-,10,-
115,Romain Thomas,43.2,85.1,-,3.6,-
116,Kamil Glik,49.2,83.9,-,3.7,-
117,Jonathan Gradit,34.2,81.2,0.2,2.3,-
118,Alphonse Areola,19.8,83.2,-,2.9,-
119,Daniel Congré,41.3,81.9,-,3.4,-
120,Ludovic Butelle,22.6,56.8,-,7.2,-
121,Nuno da Costa,14.1,69.1,0.1,0.4,0.1
122,Valère Germain,16.2,78,0.1,0.2,-
123,Boubacar Kamara,44.7,86.4,0.1,3,0.1
124,Adrien Tameze,50.3,89.1,-,2.5,0.1
125,Mike Maignan,24.3,57.1,-,5.6,-
126,Baptiste Santamaría,39.2,81,-,3.2,-
127,Mathieu Cafaro,17.8,68.8,1.2,1.1,-
128,Dénis Bouanga,16.8,69.7,0.4,0.5,-
129,Mexer,43.7,89,-,3.4,-
130,Hamari Traoré,43.6,82.5,0.5,2.1,0.1
131,Ambroise Oyongo,29.1,70.7,0.7,1.1,-
132,Fouad Chafik,33.7,74.7,0.4,1.9,-
133,Jordan Lefort,34.4,69.5,0.3,2.3,-
134,Kevin Strootman,40.8,82.3,0.2,1.6,-
135,Benjamin Henrichs,38.3,74,0.5,1.1,-
136,Anthony Gonçalves,22.2,75.5,0.6,0.8,-
137,Paul Bernardoni,25.1,49.4,-,6.6,-
138,Jason Denayer,63.5,93.8,-,1.4,-
139,Jules Koundé,53,80.7,-,3.2,-
140,Benoît Costil,27.9,66.8,-,8.5,-
141,Jordan Ferri,42.7,82.1,-,3.3,0.2
142,Lima,39.8,73.3,1.7,2.1,-
143,Nicolas Benezet,29.8,74.9,1.3,0.8,-
144,Valentin Rosier,37,83.8,0.4,1.3,-
145,Remi Oudin,20.4,60.5,0.1,1.2,0.1
146,Robert Beric,8.5,68.9,-,-,-
147,Adama Soumaoro,46.3,94.3,-,2,-
148,Sada Thioub,22.5,78.4,0.5,0.6,-
149,Mehdi Abeid,39.8,86.5,0.2,2.5,-
150,Thomas Foket,33.1,76.6,0.3,1.2,-
151,Rafael Leão,10,72.6,-,0.2,-
152,Timothée Kolodziejczak,50,82,0.3,3.3,-
153,Maxime Poundjé,35.9,80.1,0.8,1.1,-
154,Kalifa Coulibaly,13.4,53.3,0.1,0.1,-
155,Romain Hamouma,17.6,78.4,0.6,0.3,-
156,Luiz Gustavo,47.9,88.8,0.1,2.5,-
157,Wesley Lautoa,46.5,86.5,-,3.4,-
158,Maxwel Cornet,15.3,77.3,0.3,0.1,-
159,Lionel Carole,35.5,79.7,0.4,1.4,-
160,Abdoulaye Bamba,30.5,78,0.4,0.9,-
161,Mathieu Dossevi,20.6,76,1.4,0.6,-
162,Maxime Lopez,69.3,91.3,0.8,2,-
163,Mateo Pavlovic,31.4,86.2,-,1.7,-
164,Matz Sels,25.8,57.3,-,7.7,-
165,Benjamin Bourigeaud,31.9,79.8,0.8,2.2,-
166,Youssouf Sabaly,43.2,81.6,0.5,0.9,-
167,Sergi Palencia,36.2,80,0.6,1.9,-
168,Ciprian Tatarusanu,26.5,68.5,-,7.9,-
169,Adrien Thomasson,32.7,78.1,0.6,1.2,-
170,Martin Terrier,15.8,84.2,0.1,0.3,0.1
