,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,PSG,25," AM(CLR),FW",34(1),3032,28,17,10,-,4.2,82.2,0.1,12,8.04,0.3,0.1,0.8,-,0.4,0.2,-,-,3.2,1.5,1.1,1.6,1.6,38.3,82.2,0.6,1.2,0.1
1,Lionel Messi,PSG,36," AM(CR),FW",24(2),2153,6,14,-,-,3.4,86.7,0.2,5,7.77,0.4,0.2,0.2,-,-,0.4,-,-,2.5,1.3,0.4,1.6,1.6,61.7,86.7,0.3,3.1,0.7
2,Neymar,PSG,32," AM(CLR),FW",22,1861,13,6,10,-,2.5,82.2,0.2,2,7.65,1.3,0.2,1.4,-,0.1,1.1,-,-,2.6,3.2,0.5,3,3,55.5,82.2,0.5,1.7,0.5
3,Benjamin Bourigeaud,Rennes,30, M(CLR),38,3215,11,12,2,-,1.3,76.9,0.4,4,7.44,1.2,0.8,0.7,-,1,1.1,0.1,-,0.2,0.2,0.1,0.5,0.5,42.1,76.9,2.7,2.7,0.1
4,Dimitri Payet,Marseille,37," M(CLR),FW",28(3),2597,12,10,3,-,2.2,81.8,0.1,6,7.44,0.5,0.3,0.3,-,0.1,0.8,-,-,0.9,1.4,0.1,1.1,1.1,45.5,81.8,2.3,2.6,0.5
5,Martin Terrier,Rennes,27," AM(CL),FW",37,2805,21,3,1,-,2.4,81.1,1.1,4,7.41,1.5,0.5,0.8,-,0.5,0.5,0.1,-,0.8,1.1,0.2,0.6,0.6,24.9,81.1,0.2,1,0.1
6,Téji Savanier,Montpellier,32, M(C),28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.4,1.6,0.9,1.6,-,0.4,1.3,-,-,2.6,2.7,0.1,1.2,1.2,47.5,72.4,1.6,5.5,0.2
7,Aurélien Tchouaméni,Monaco,24," D(C),DMC",33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32,2.5,2.9,1.5,0.1,0.9,0.7,0.2,-,1.1,1.7,0.1,0.9,0.9,58.9,86.7,0.1,3.1,0.1
8,Sofiane Boufal,Angers,30," AM(CLR),FW",28(1),2345,8,4,6,-,2.2,78.3,0.4,5,7.27,1.5,0.2,1.5,-,-,0.7,0.1,-,3.1,2.8,0.5,2.6,2.6,30.9,78.3,1.2,1.2,0.1
9,Lucas Paquetá,Lyon,26," M(CLR),FW",32(3),2713,9,6,3,-,2.5,79.6,1.3,4,7.24,1.9,0.3,1.8,-,0.6,1,0.1,-,2.3,1.8,0.2,2.2,2.2,43.3,79.6,0.2,1.5,0.3
10,Jonathan Clauss,Lens,31," D(R),M(LR)",35(2),3063,5,11,3,-,1.1,73.3,0.4,3,7.22,1.7,2,1,-,1.1,0.9,-,-,0.8,0.4,0.1,0.4,0.4,33.3,73.3,2.1,1.5,0.1
11,Marco Verratti,PSG,31, M(C),23(1),1951,2,2,12,-,0.3,91.6,0.2,2,7.21,2.5,0.8,1.3,-,0.4,1.3,0.4,1,1.9,2,-,0.9,0.9,87.3,91.6,0.1,2.7,0.2
12,Bruno Guimarães,Lyon,26, DMC,19(1),1642,-,3,2,-,0.6,88.0,0.6,3,7.21,2.5,1.1,1.6,0.1,0.4,1.8,0.2,-,1.9,3,0.1,1.4,1.4,66.5,88.0,0.3,4.7,0.3
13,Moussa Dembélé,Lyon,27, FW,25(5),2209,21,4,6,-,2.9,66.1,2,4,7.21,0.6,0.3,1,-,1,0.3,-,-,0.8,0.6,0.3,1.5,1.5,14.4,66.1,-,0.1,-
14,Romain Faivre,Brest,25, AM(CLR),20(1),1801,7,5,1,-,1.8,83.3,0.3,3,7.2,1.4,0.6,0.7,-,0.5,0.9,-,-,2,1.3,-,1.5,1.5,35.0,83.3,1.9,1.2,0.1
15,Ángel Di María,PSG,36," M(CLR),FW",19(7),1654,5,7,2,-,2,80.3,-,3,7.17,1.1,0.2,0.3,-,0.1,0.9,-,-,1.2,0.5,0.3,0.6,0.6,39.7,80.3,1.3,1.8,0.2
16,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",26(4),2305,12,5,3,-,2.5,80.6,1.1,2,7.15,0.4,0.7,0.5,-,0.2,0.6,-,-,1.5,0.5,0.3,1.3,1.3,29.0,80.6,0.5,0.8,0.1
