,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,PSG,25," AM(CLR),FW",27(4),2389,27,7,5,-,3.4,80.7,0.2,6,7.68,0.1,0.1,0.7,-,0.1,0.2,-,-,2.9,1.2,0.5,1.5,1.5,30.7,80.7,0.2,0.2,-
1,Andy Delort,Montpellier,32," AM(R),FW",30,2494,15,9,4,-,3,62.5,4.7,6,7.6,0.4,0.1,1.8,-,1.1,0.3,-,-,1,1.4,0.6,0.8,0.8,26.3,62.5,1,1.1,-
2,Memphis Depay,Lyon,30," AM(CL),FW",33(4),2932,20,12,4,-,3,76.1,0.4,9,7.56,0.1,0.1,0.8,-,0.1,0.5,-,-,2.1,1.4,0.3,1.5,1.5,29.9,76.1,1.3,1.1,0.1
3,Ángel Di María,PSG,36," M(CLR),FW",23(4),1863,4,9,1,-,2.2,81.2,-,5,7.33,1,0.2,0.4,-,0.2,1.3,-,-,1.5,1,0.3,0.8,0.8,36.8,81.2,1.8,2.1,0.3
4,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",34(1),2830,14,6,3,-,2.6,80.3,1,6,7.32,0.5,0.7,0.8,-,0.2,0.7,-,-,1.7,0.8,0.4,0.7,0.7,25.9,80.3,0.3,0.7,0.1
5,Benjamin André,Lille,33," D(R),M(CLR)",35,2903,-,1,10,-,0.5,84.1,2.7,6,7.27,3.3,2.2,2,-,1.2,2,0.3,-,0.8,1.5,-,1.1,1.1,57.7,84.1,0.1,2.3,-
6,Téji Savanier,Montpellier,32, M(C),26(1),2175,5,5,6,1,2.1,74.4,0.7,6,7.26,1.8,1.4,2.1,-,0.6,1.9,0.2,-,1.9,2.4,-,1.6,1.6,40.0,74.4,2,4.7,-
7,Gaëtan Laborde,Montpellier,30," AM(CLR),FW",38,3270,16,8,3,-,2.6,67.0,3.6,4,7.25,1.1,0.4,1.6,-,0.6,1.2,0.1,-,0.9,0.8,0.2,0.8,0.8,22.0,67.0,0.3,0.3,-
8,Marco Verratti,PSG,31, M(C),16(5),1491,-,2,7,-,0.5,91.7,0.6,2,7.24,2.5,1.2,1.3,-,0.1,2.3,0.2,-,2.3,2.4,-,1.4,1.4,84.0,91.7,0.1,2.6,-
9,Fabien Centonze,Metz,28," D(R),M(R)",36,3222,1,-,9,-,0.7,79.5,1.6,1,7.23,2.9,3.1,1.2,0.1,3.1,0.8,0.5,-,1.6,1.6,0.1,0.9,0.9,37.8,79.5,0.6,1,0.1
