,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
25,Maxence Caqueret,Lyon,24, M(C),32(4),2778,4,7,2,-,0.7,86.3,0.4,2,7.04,2.4,1.1,1.3,-,0.8,1.8,0.1,-,1.1,0.9,0.1,1.3,1.3,46.5,86.3,0.8,1.4,0.1
26,Alexis Sánchez,Marseille,35," M(CLR),FW",32(3),2699,14,3,3,-,1.9,75.8,1,6,7.04,0.8,0.1,1.3,-,0.2,0.6,-,-,1.2,1.3,0.8,1.8,1.8,25.3,75.8,0.2,1.3,0.1
27,Habib Diallo,Strasbourg,28," AM(R),FW",32(5),2880,20,1,2,1,2.5,67.7,3.6,5,7.04,0.5,0.3,1,-,0.7,0.3,0.1,-,0.8,1.7,0.5,0.9,0.9,15.8,67.7,-,0.3,0.1
28,Nabil Bentaleb,Angers,29, M(C),29(1),2492,4,4,5,1,1.4,85.2,1,4,7.03,2.5,1.5,1.3,0.1,0.9,0.8,0.4,-,2.1,1.8,-,1.2,1.2,58.3,85.2,0.7,4,0.1
29,Przemyslaw Frankowski,Lens,29," D(R),M(CLR)",31(6),2838,5,3,4,-,0.8,82.1,0.3,3,7.03,2.1,1.1,0.9,0.1,0.9,1.1,0.2,-,0.4,0.5,0.2,0.4,0.4,36.1,82.1,1.7,1.4,-
30,Ludovic Blas,Nantes,26," M(CLR),FW",30(7),2821,7,5,6,-,2.7,85.5,0.5,3,7.01,1.3,0.5,1.6,-,0.2,0.9,-,-,2.2,1.7,0.1,2.1,2.1,28.0,85.5,0.9,1.6,-
31,Valentin Rongier,Marseille,29," D(R),M(C)",34(2),3034,1,2,8,-,0.6,88.5,1.2,1,7.0,2.6,1.5,1.4,-,0.9,1,0.3,-,0.8,0.8,-,0.8,0.8,58.0,88.5,0.1,2.6,0.1
32,Franck Honorat,Brest,27," M(LR),FW",29(4),2546,6,5,1,-,1.4,75.0,0.4,3,7.0,1.2,0.6,0.7,-,0.5,0.5,0.1,-,0.5,0.5,0.3,0.6,0.6,24.6,75.0,2.2,0.7,-
33,Loïs Openda,Lens,24, FW,29(9),2529,21,4,2,-,2.7,71.2,0.3,6,6.99,0.3,0.1,1.1,-,0.2,0.3,-,-,0.5,1.2,0.6,0.6,0.6,10.6,71.2,0.1,0.2,0.1
34,Rayan Cherki,Lyon,20," AM(CLR),FW",21(13),1874,4,6,3,-,1.8,81.0,0.1,3,6.99,0.4,0.1,0.5,-,-,0.4,-,-,2.3,0.9,0.1,1.4,1.4,28.8,81.0,0.9,1.5,0.2
35,Pierre Lees-Melou,Brest,30, M(CLR),32,2773,5,5,10,1,1.3,83.9,0.6,3,6.99,3,1.6,1.3,-,1.3,2.1,0.4,-,0.7,1.5,-,0.6,0.6,44.2,83.9,0.2,5.5,0.1
36,Hicham Boudaoui,Nice,24, M(CR),22(5),1882,1,2,5,-,0.8,89.7,0.3,-,6.97,2.5,1.3,1.1,-,0.6,0.7,0.2,-,1.1,1.3,-,0.6,0.6,44.4,89.7,0.2,1.1,-
37,Nicolas Pépé,Nice,28," AM(CLR),FW",17(2),1529,6,-,2,-,2.6,83.1,0.4,1,6.96,1.3,0.2,0.7,-,0.1,0.7,-,-,1.8,1.8,0.3,2.7,2.7,33.6,83.1,0.9,0.7,0.1
38,Jonathan Clauss,Marseille,31," D(R),M(LR)",32(2),2604,2,9,1,-,1.4,75.8,0.3,2,6.95,1.4,0.9,0.7,0.1,1.1,0.9,0.1,-,0.9,0.4,0.1,0.5,0.5,33.4,75.8,0.9,1.4,0.1
39,Jonathan Gradit,Lens,31, D(CR),33,2830,1,3,7,-,0.2,90.2,1.5,-,6.95,1.9,1.2,0.9,0.3,2.5,0.7,0.8,-,0.4,1.2,-,0.3,0.3,62.5,90.2,0.2,3.1,0.1
40,Dante,Nice,40, D(C),37,3300,1,2,6,-,0.6,90.1,2,-,6.94,1.9,1.3,1,0.3,3.3,0.6,0.8,-,0.2,0.5,-,0.2,0.2,71.0,90.1,-,4.2,0.1
41,Yunis Abdelhamid,Reims,36, D(C),37,3330,1,2,6,-,0.9,83.1,2.5,1,6.94,2.2,1.7,1.3,0.6,3.1,0.4,0.7,-,0.6,0.8,0.1,0.6,0.6,54.3,83.1,-,2.9,-
42,Rasmus Nicolaisen,Toulouse,27, D(C),34,2997,-,2,5,1,0.4,84.3,3.4,1,6.94,1.4,1.5,0.9,0.3,4.4,0.5,1.3,1,0.3,0.8,-,0.2,0.2,51.7,84.3,-,3.6,-
43,Achraf Hakimi,PSG,25," D(LR),M(R)",23(5),2053,5,3,5,2,0.6,90.2,0.3,-,6.94,1.9,0.6,1,-,0.5,1,0.1,-,1,0.7,0.2,0.8,0.8,49.8,90.2,0.6,0.5,-
44,Yehvann Diouf,Reims,24, GK,31,2790,-,-,2,-,-,76.4,0.5,2,6.94,0.1,-,-,-,0.7,0.1,-,-,0.1,0.3,-,-,-,28.0,76.4,-,6.2,-
45,Kevin Danso,Lens,25, D(C),37,3234,1,2,7,1,0.6,90.1,2.3,2,6.94,1,0.9,1.1,0.7,3.3,0.3,0.9,-,0.5,1.5,0.1,0.5,0.5,62.9,90.1,-,2.6,-
46,Bradley Barcola,Lyon,21," AM(LR),FW",15(11),1438,5,8,3,-,1,72.4,0.6,3,6.94,1,0.7,0.9,-,0.3,1.2,-,-,1.5,0.3,0.3,0.3,0.3,16.9,72.4,0.2,0.2,-
47,Marco Verratti,PSG,31, M(C),27(2),2206,-,-,10,1,0.3,92.9,0.4,-,6.94,2.6,0.9,1.2,-,0.4,1.8,0.2,-,1,1.8,-,1.1,1.1,87.5,92.9,0.1,2.8,0.2
48,Vanderson,Monaco,22," D(R),M(R)",24(7),2220,1,4,3,1,0.8,77.9,0.9,2,6.93,2.7,1.5,1.2,0.1,1,1,0.3,-,0.9,0.6,0.1,0.7,0.7,35.2,77.9,0.7,2.2,-
49,Adrien Thomasson,Lens,30, M(CLR),16(4),1288,5,5,1,-,1.1,80.3,0.6,-,6.92,1.2,0.2,1.1,-,0.8,1.7,0.1,-,0.6,0.9,0.3,0.9,0.9,27.1,80.3,0.2,0.9,0.1
50,Alexander Djiku,Strasbourg,29," D(CR),DMC",31,2681,1,2,8,1,0.5,80.8,3,1,6.92,1.7,2.1,1.3,0.4,4.8,0.6,0.6,-,0.1,0.8,0.1,0.2,0.2,48.0,80.8,0.1,4.5,-
51,Caio Henrique,Monaco,26," D(L),M(CL)",32(3),2898,1,9,3,-,0.3,80.3,0.5,2,6.92,2.1,0.7,0.4,0.2,1.5,0.9,0.2,1,0.5,0.7,-,0.3,0.3,44.2,80.3,1.1,1.7,0.1
52,Karl Toko-Ekambi,Lyon,31," AM(LR),FW",15(4),1357,4,2,1,-,2.2,82.3,0.8,2,6.91,0.5,0.5,0.4,-,0.3,0.6,0.1,-,1.4,0.5,0.1,1.3,1.3,30.4,82.3,0.3,1.4,0.1
53,Jonathan Bamba,Lille,28," AM(CLR),FW",32(2),2790,6,7,6,-,2.1,83.8,0.6,2,6.91,1.1,0.6,1,-,0.4,0.9,-,-,1,1.7,0.4,1.8,1.8,37.7,83.8,0.4,0.9,0.1
