,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Cristiano Ronaldo,0.3,0.2,0.6,-,1,0.3,0.1,-
1,Papu Gómez,0.5,0.5,0.7,-,0.1,0.7,-,-
2,Josip Ilicic,0.5,0.2,0.6,-,-,0.5,-,-
3,Suso,0.8,0.5,0.9,-,-,0.9,-,-
4,Rodrigo De Paul,1.5,0.9,0.8,-,0.3,0.8,0.1,-
5,Mario Mandzukic,1.4,0.5,1.4,-,0.7,0.4,0.2,-
6,Duván Zapata,0.2,0.1,1.6,-,0.6,0.2,0.2,-
7,Leonardo Pavoletti,1,0.2,2.5,0.1,0.8,0.3,0.1,-
8,Stephan El Shaarawy,1,0.7,0.5,-,0.2,0.5,0.1,-
9,Fabián Ruiz,2,0.8,0.4,-,0.9,1,0.1,-
10,Edin Dzeko,0.4,-,0.9,-,1.1,0.4,-,-
11,Armando Izzo,2.1,2.4,1.5,0.1,3.8,0.5,0.6,-
12,Andrea Belotti,0.9,0.4,1.9,0.1,0.6,0.6,0.1,-
13,Dries Mertens,0.5,0.4,0.9,-,0.1,0.6,-,-
14,João Cancelo,1.7,0.6,1.3,0.1,1.3,0.9,0.2,-
15,Krzysztof Piatek,0.5,0.2,1.6,0.1,1.1,0.7,0.2,-
16,Cristian Ansaldi,2.1,0.6,0.9,0.1,0.9,0.6,0.2,-
17,Lorenzo Insigne,0.5,0.3,0.3,-,0.1,0.4,-,-
18,Domenico Criscito,3.1,2,1.3,0.3,3.7,0.7,0.3,-
19,Alex Sandro,2.2,1.2,1.6,0.2,1.9,0.5,0.3,-
20,Tiémoué Bakayoko,2.3,1.6,1.4,-,1.4,1.1,0.2,-
21,Sergej Milinkovic-Savic,1.4,0.9,1.9,-,1.5,1.2,0.1,-
22,Allan,3.2,1.1,1.5,-,0.8,2.2,0.4,-
23,Arkadiusz Milik,0.5,0.1,1.2,-,0.4,0.5,0.1,-
24,Aleksandar Kolarov,1.2,1.2,0.8,0.5,2.1,0.4,0.5,-
25,Hakan Çalhanoglu,1.4,0.8,0.8,-,0.3,0.6,0.1,-
26,Robin Gosens,2.3,1.4,0.9,0.3,1.7,0.6,0.1,-
27,Erick Pulgar,2.3,1.8,1.1,0.1,1.8,1.8,0.2,1
28,Fabio Quagliarella,0.4,0.2,0.9,-,0.5,0.4,-,-
29,Lucas Leiva,3.4,2,1.7,-,1.4,1.5,0.4,-
30,Kevin Malcuit,1.8,1.9,1,0.1,2.3,0.5,0.2,-
31,Marcelo Brozovic,3.2,1.4,1.5,-,0.8,1.7,0.3,-
32,Paulo Dybala,0.6,0.5,0.6,-,-,0.5,0.1,-
33,Alessio Cragno,-,0.1,-,-,0.8,-,-,-
34,Federico Fazio,0.8,1.6,0.8,0.9,4.9,0.4,1,-
35,Germán Pezzella,1.8,1.9,1,0.3,4.8,0.6,0.9,1
36,Kalidou Koulibaly,1.7,1.1,1.4,0.5,3.9,0.5,0.9,-
37,Ivan Perisic,1,0.7,0.8,-,1.4,1,0.1,1
38,Steven Nzonzi,2.2,0.9,1.1,-,1.7,0.4,0.8,-
39,Luis Alberto,2,0.4,0.9,-,0.3,1.3,0.1,-
40,Christian Kouamé,0.8,0.7,0.9,-,0.6,0.3,0.1,-
41,José Callejón,1,0.6,0.4,-,0.2,1.1,0.1,-
42,Joaquín Correa,0.6,0.1,0.8,-,0.2,0.4,0.1,-
43,Miralem Pjanic,1.3,1.2,1.2,-,0.6,1.4,0.2,-
44,Remo Freuler,2.4,1.1,1.2,0.1,1.1,1.2,0.3,-
45,Senad Lulic,2.1,1.4,1.2,-,1.4,1.3,0.1,-
46,Jasmin Kurtic,1.2,0.7,1.2,-,1.7,0.9,0.1,-
47,Juraj Kucka,2.8,0.9,2.3,-,2,1.9,0.4,-
48,Marten de Roon,2.9,1.5,1.8,0.1,1.3,1.7,0.3,-
49,Lorenzo Pellegrini,1.6,0.5,1.3,-,0.8,0.8,0.1,-
50,Dennis Praet,1.9,1.1,0.7,-,0.8,0.7,0.1,-
51,Albin Ekdal,1.9,1.7,1.4,-,1.9,1,0.4,-
