,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Marseille,9.9,20.1,11.2,13.4,0.8
1,Nimes,12.6,19.7,11.8,12.9,1.4
2,Toulouse,14.8,19.6,11.4,14.1,1.1
3,Nantes,10.8,19.5,10.9,13.4,1.6
4,Metz,13.9,18.8,11.1,12,1.1
5,Dijon,14.2,18.5,11.9,12.5,1.1
6,Saint-Etienne,11.6,18.3,13.4,13.3,1.5
7,Monaco,13.1,18,10,12,1.6
8,Paris Saint-Germain,9.9,17.9,9.4,12.3,2.1
9,Rennes,12.8,17.9,9.7,13.8,1.4
10,Lyon,11.1,17.6,11.1,12.2,0.9
11,Reims,10.1,17.5,11.8,13.7,1.6
12,Strasbourg,10.2,17.5,11.1,13.6,1.2
13,Brest,14.8,17.3,12.6,11.8,1.3
14,Bordeaux,12.9,17.3,10.8,13.5,1.4
15,Nice,14,16.8,12.1,10.5,0.8
16,Montpellier,13.3,16,11,15,1.5
17,Angers,9.6,15.7,9.6,12,1
18,Amiens,14.6,15.2,10.8,14.4,1.3
19,Lille,9.9,15.1,9.9,13.8,2.1
