,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Marseille,10.5,20.5,10.6,13.2,1.2
1,Nantes,10.7,20.2,11.4,13,2
2,Montpellier,11.9,20,12.8,14.1,1.5
3,Reims,11.8,20,12.8,14,2.1
4,Nimes,12.8,19.3,11.7,12.8,1.1
5,Bordeaux,13.1,18.9,10.3,14.3,1.6
6,Caen,14.3,18.7,12.9,14.7,1.3
7,Paris Saint-Germain,10.5,18.4,9,12.5,2.4
8,Monaco,11.3,18.1,10.2,13.9,1.4
9,Guingamp,12.3,18,11,12.8,1.4
10,Dijon,14.3,17.7,12.7,15.1,1.6
11,Angers,12.1,17.7,11.1,11.8,1.3
12,Saint-Etienne,12.4,17.7,11.6,11.9,1.6
13,Toulouse,15,17.6,10.1,14.7,1.8
14,Nice,13.1,17.4,11.8,11.2,1.1
15,Rennes,12.6,17.2,10.2,12.9,1.6
16,Strasbourg,13.1,17.1,11.3,13.5,1.1
17,Lyon,12.6,16.8,9.6,11.7,2.5
18,Amiens,13.2,16.6,10.3,13.7,1.7
19,Lille,9.9,16.5,10.2,12.6,1
