,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
253,Divock Origi,4,1,0.5,0.4,0.6,-,0.4,0.4
254,James McCarthy,-,-,0.4,0.2,0.5,-,0.3,0.3
255,Dominic Solanke,3,1,1,0.8,0.7,0.1,1.7,1.7
256,Nathaniel Chalobah,-,1,0.4,0.2,0.4,-,0.5,0.5
257,Jordan Pickford,-,-,-,-,0.2,-,-,-
258,Dennis Praet,1,2,0.6,0.4,0.5,-,0.6,0.6
259,Sean Longstaff,1,1,1.1,0.3,1.1,-,0.7,0.7
260,Aaron Connolly,3,1,1.6,0.3,1.6,0.6,0.8,0.8
261,Kepa,-,-,-,-,0.2,-,-,-
262,Hamza Choudhury,1,1,0.4,0.2,0.4,-,0.3,0.3
263,Roberto Pereyra,3,-,0.8,0.7,1.2,0.2,1,1
264,Michael Obafemi,3,2,0.6,0.7,0.3,0.1,0.7,0.7
265,Billy Sharp,3,2,0.6,0.6,1.3,0.4,1.2,1.2
266,Moise Kean,2,2,1,0.9,0.4,0.1,0.7,0.7
267,Joe Willock,1,1,0.5,0.7,0.4,-,0.6,0.6
268,Lewis Cook,-,-,0.3,0.9,0.4,-,0.7,0.7
269,Jesse Lingard,1,-,1,0.6,0.5,-,0.5,0.5
270,Adrian Mariappa,-,-,0.2,0.1,0.4,0.1,0.2,0.2
271,Glenn Murray,1,1,0.8,-,0.7,0.4,0.7,0.7
272,Marco Stiepermann,-,-,0.8,0.7,0.6,-,0.9,0.9
273,Mario Vrancic,1,-,0.7,0.3,0.7,0.1,0.5,0.5
274,Andre Gray,2,-,0.8,0.3,-,0.3,0.6,0.6
275,Josip Drmic,1,-,0.7,0.3,0.2,0.3,0.7,0.7
