,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Harry Kane,23,14,3.9,1.5,1.7,0.4,1.5,1.5
1,Kevin De Bruyne,6,12,3.1,1.9,1.2,-,1.3,1.3
2,Jack Grealish,6,10,1.9,2.5,4.2,0.3,1.5,1.5
3,Bruno Fernandes,18,12,3.3,0.6,1.4,0.1,1,1
4,Tomás Soucek,10,1,1.7,0.4,1.1,0.1,0.6,0.6
5,Mason Mount,6,5,2.3,1.2,1.2,0.1,1.1,1.1
6,Sadio Mané,11,7,2.7,2.3,2.2,0.9,1.7,1.7
7,Ilkay Gündogan,13,2,2,1,1,-,0.5,0.5
8,João Cancelo,2,3,1.2,1.6,0.6,0.1,0.8,0.8
9,Gareth Bale,11,2,1.9,1.4,0.5,0.3,0.4,0.4
10,Son Heung-Min,17,10,1.8,1.1,1.5,0.4,1.4,1.4
11,Wilfred Ndidi,1,4,0.6,0.6,0.6,-,0.5,0.5
12,Raphinha,6,9,2.2,1.9,1,0.5,1.1,1.1
13,James Rodríguez,6,4,1.6,1.5,1.7,0.3,1.7,1.7
14,Riyad Mahrez,8,6,2.1,1.5,1.1,0.3,1,1
15,Raheem Sterling,10,7,2.2,2.1,1.3,0.3,2.6,2.6
16,Ollie Watkins,14,5,2.6,1.1,1.3,0.8,2.3,2.3
17,Michail Antonio,10,5,2.4,1.7,1.5,0.6,1.9,1.9
18,Dominic Calvert-Lewin,16,-,2.5,0.7,1.2,0.5,0.9,0.9
19,Rodri,2,2,0.9,0.8,0.9,0.1,0.6,0.6
20,Aaron Wan-Bissaka,2,4,0.2,1,0.4,-,0.6,0.6
21,Phil Foden,9,5,1.6,1.4,1.2,0.1,0.5,0.5
22,Marcus Rashford,11,9,2.1,2.2,1.1,0.7,1.4,1.4
23,Thiago Alcântara,1,-,0.9,1.4,1,-,0.8,0.8
24,Pedro Neto,5,6,1.9,2,1.3,0.1,1.3,1.3
25,Allan Saint-Maximin,3,4,1.2,3.8,1.8,0.2,2.1,2.1
26,Roberto Firmino,9,7,2.3,1.6,0.4,0.1,1.3,1.3
27,Jamie Vardy,15,9,2.4,0.8,0.7,1.1,0.4,0.4
28,Adama Traoré,2,2,1.1,4.1,2.3,0.2,1.8,1.8
29,Youri Tielemans,6,4,1.3,1.1,1.4,-,0.9,0.9
30,Lucas Digne,-,7,0.4,0.6,0.7,0.1,0.7,0.7
31,Christian Benteke,10,1,2.4,0.5,0.7,0.5,0.9,0.9
32,Kurt Zouma,5,-,1.1,0.1,0.3,-,0.2,0.2
33,Solly March,2,1,1,2.1,1.2,0.1,1.1,1.1
34,James Ward-Prowse,8,7,1.1,0.4,0.7,-,0.4,0.4
35,Mohamed Salah,22,5,3.4,1,0.6,0.4,2.2,2.2
36,Liam Cooper,1,-,0.6,0.2,1.1,-,-,-
37,Bernardo Silva,2,6,1.1,1.6,0.7,0.1,0.9,0.9
38,Sèrge Aurier,2,3,0.8,0.9,0.8,0.1,0.7,0.7
39,Paul Pogba,3,3,1.2,1.7,1.5,0.2,1.9,1.9
40,Harry Maguire,2,1,1.1,0.2,0.9,-,0.2,0.2
41,Gabriel Jesus,7,4,1.8,1.7,1.6,0.6,1.3,1.3
42,John Stones,4,-,0.7,0.5,0.4,-,0.1,0.1
