,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Kylian Mbappé,33,7,4.3,2.2,1.5,1,1.5,1.5
1,Téji Savanier,6,14,2.1,2.5,3,-,1.3,1.3
2,Nicolas Pépé,22,11,3.1,2.7,2.8,0.3,2.9,2.9
3,Ángel Di María,12,11,3.2,1.4,0.6,0.2,1.5,1.5
4,Youcef Atal,6,-,1.2,3.5,2,0.3,1.1,1.1
5,Edinson Cavani,18,5,2.5,0.6,0.8,0.5,0.6,0.6
6,Hatem Ben Arfa,7,2,2.1,4.5,1.6,0.2,2.5,2.5
7,Memphis Depay,10,10,3.1,1.7,0.9,0.3,1.8,1.8
8,Nabil Fekir,9,7,3.1,1.6,2.2,0.6,1.5,1.5
9,Flavien Tait,5,7,2.4,2.3,1.9,0.1,1.9,1.9
10,Andy Delort,14,7,3.3,1.5,1.5,0.7,1.8,1.8
11,Thiago Mendes,-,5,0.9,0.8,1.9,-,0.8,0.8
12,Wahbi Khazri,13,6,2.9,1.4,1.6,0.7,2.2,2.2
13,Marcelo,-,1,0.8,0.2,0.3,-,0.2,0.2
14,Marquinhos,3,1,0.4,0.2,0.3,-,0.3,0.3
15,Allan Saint-Maximin,6,3,2.2,4.2,2,0.2,2.4,2.4
16,Florian Thauvin,16,8,3.1,1.8,1.5,0.2,1.8,1.8
17,Benjamin André,3,1,0.9,0.7,1.6,0.2,1.3,1.3
18,Max Gradel,11,5,3.3,2.4,2.6,0.5,2.8,2.8
19,Lucas Ocampos,4,7,1.8,1.9,1.9,0.2,1.7,1.7
20,Ruben Aguilar,1,4,0.4,1.2,1.4,-,0.9,0.9
21,Rémy Cabella,8,4,2.4,1.6,2,0.1,2.1,2.1
22,Youssouf Koné,-,1,0.3,0.9,1.4,0.1,0.5,0.5
23,Mathieu Debuchy,4,3,0.6,0.4,0.8,0.3,0.5,0.5
24,Kenny Lala,5,9,0.7,1.1,1.1,-,1.4,1.4
25,Valentin Rongier,4,5,2,1,0.8,0.1,1.1,1.1
26,Ferland Mendy,2,1,0.8,1.8,1.5,-,1.2,1.2
27,Hiroki Sakai,1,4,0.2,0.4,0.9,-,0.6,0.6
28,Christophe Hérelle,-,-,0.5,0.2,1.4,-,0.2,0.2
29,Marco Verratti,-,2,0.1,1.3,2.2,-,1.4,1.4
30,Thomas Meunier,3,3,0.9,0.4,0.2,0.2,0.5,0.5
