,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
72,Rafael Ratão,5,4,1,1.3,1.1,0.1,1,1
73,Axel Disasi,3,3,0.8,0.6,0.3,-,0.4,0.4
74,Samuel Gigot,2,2,0.5,0.2,0.5,-,0.1,0.1
75,Breel Embolo,12,2,1.3,1,1.8,0.4,1.4,1.4
76,Adrien Truffert,-,6,0.4,0.8,0.9,0.1,0.5,0.5
77,Ismaily,2,1,0.6,0.7,1,0.1,1.3,1.3
78,Corentin Tolisso,1,2,1,0.2,1.3,-,0.6,0.6
79,Alexis Flips,4,6,1.6,0.4,0.7,0.1,0.7,0.7
80,Mory Diaw,-,-,-,-,0.2,-,-,-
81,Hamari Traoré,1,4,1,0.3,0.2,0.1,0.3,0.3
82,Sergio Ramos,2,1,0.6,0.2,0.7,0.1,0.2,0.2
83,Jordan Lotomba,-,2,0.4,1.2,0.9,-,0.7,0.7
84,Chancel Mbemba,5,-,0.8,0.4,0.5,-,0.3,0.3
85,Stijn Spierings,2,-,0.7,0.4,1.4,-,0.7,0.7
86,Pau López,-,2,-,-,0.2,-,-,-
87,Alban Lafont,-,-,-,-,0.1,-,-,-
88,Mikkel Desler,1,2,0.4,1,1.2,0.2,0.6,0.6
89,Facundo Medina,2,4,0.6,0.8,0.6,-,0.7,0.7
90,Maxime Dupé,-,-,-,0.1,0.1,-,-,-
91,Adam Ounas,1,1,1.2,1.8,1.4,0.1,1.2,1.2
92,Brendan Chardonnet,-,-,0.5,0.1,0.9,-,0.1,0.1
93,Montassar Talbi,1,2,0.2,0.2,0.7,-,0.2,0.2
94,Johan Gastien,4,3,0.6,0.3,1.1,-,0.4,0.4
95,Alexsandro Ribeiro,3,-,0.8,0.7,1,0.1,0.2,0.2
96,Salis Abdul Samed,1,1,0.4,0.9,1.2,-,1,1
97,Emmanuel Agbadou,-,3,0.8,0.3,0.2,-,0.4,0.4
98,Kasper Schmeichel,-,-,-,-,-,-,-,-
99,Jean-Clair Todibo,-,-,0.4,0.6,0.4,-,0.3,0.3
100,Mohamed Camara,-,3,0.9,0.8,2,-,0.9,0.9
101,Krépin Diatta,4,2,1.3,1,0.8,0.3,0.6,0.6
102,Himad Abdelli,2,2,0.8,1.4,1,-,0.7,0.7
103,Rominigue Kouamé,1,1,0.8,1.6,1.5,-,0.8,0.8
104,Brice Samba,-,-,-,-,0.2,-,-,-
105,Arnaud Nordin,9,3,1.6,1.1,2.3,0.1,1.2,1.2
106,Danilo Pereira,2,-,0.7,0.3,0.4,-,0.3,0.3
107,Guillermo Maripán,3,-,0.6,-,0.3,-,0.2,0.2
108,Nordi Mukiele,-,3,0.6,0.3,0.7,0.1,0.6,0.6
109,Melvin Bard,-,-,0.2,0.7,0.6,0.1,0.5,0.5
110,Sinaly Diomandé,-,-,0.4,0.4,0.9,-,0.2,0.2
111,Alidu Seidu,-,-,0.2,1.1,2.5,-,0.5,0.5
112,Faitout Maouassa,5,5,1,0.8,0.9,0.1,0.7,0.7
113,Sead Kolasinac,4,1,0.7,0.1,0.5,0.1,0.2,0.2
114,Vitinha,2,3,0.9,0.9,0.5,-,0.9,0.9
115,Christopher Jullien,-,2,0.6,0.2,0.2,0.1,0.1,0.1
116,Saîf-Eddine Khaoui,7,3,1.4,0.7,1.1,0.2,0.7,0.7
117,Jérémy Le Douaron,10,3,1.7,0.7,1.1,0.3,1.1,1.1
118,Castello Lukeba,2,-,0.4,0.3,0.6,-,0.2,0.2
119,Mama Baldé,12,3,2.2,1.6,1.4,0.6,2,2
120,Gideon Mensah,-,-,0.2,1,0.7,-,0.5,0.5
121,Sofiane Diop,1,4,1.3,1,1.2,0.1,1,1
122,Jubal,3,1,0.5,0.1,0.6,0.1,0.1,0.1
123,Leonardo Balerdi,-,1,0.3,0.3,0.6,-,0.1,0.1
124,Quentin Merlin,1,2,0.6,0.9,0.6,-,0.4,0.4
