,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Liverpool,19.2,6.7,9,7.5
1,Manchester City,18.8,6.7,11.2,8.7
2,Chelsea,15.6,5.6,9.6,10.3
3,Arsenal,15.5,5.2,8.4,9.4
4,Manchester United,13.4,4.9,9.7,8.4
5,Brighton,12.9,4,8.3,9.3
6,Leeds,12.8,4.1,8.9,9.7
7,Tottenham,12.8,5.2,9.7,10.5
8,Southampton,12.7,4.5,9.2,9.6
9,Aston Villa,12.2,4.3,8.8,13.3
10,West Ham,11.8,4.1,8.1,7.3
11,Newcastle,11.7,3.9,9.4,9.6
12,Brentford,11.6,4.1,6.9,9.6
13,Everton,11.5,3.6,8.9,10.2
14,Leicester,11.4,4.4,7.8,10.4
15,Crystal Palace,10.8,3.9,10.1,12.7
16,Burnley,10.7,3.3,6.8,8.7
17,Wolves,10.6,3.6,11.8,8.8
18,Watford,10.5,3.3,10.4,9.3
19,Norwich,9.8,2.9,7.8,11.3
