,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Brighton,16.1,6.1,9.1,10.7
1,Liverpool,15.9,5.6,8.6,8.4
2,Manchester City,15.8,5.8,8.8,10.1
3,Arsenal,15.6,5.4,9.4,11.4
4,Manchester United,15.6,5.7,8.4,7.8
5,Newcastle,15,5.2,9.2,10.5
6,Tottenham,13.6,5.2,8.1,9.3
7,Chelsea,12.7,4.2,10,12.2
8,West Ham,12.5,3.8,6.6,8.3
9,Leeds,12.2,3.8,7.1,10.7
10,Aston Villa,11.3,4,7.8,13.1
11,Everton,11.3,4,8.1,10.1
12,Fulham,11.3,3.9,7.4,10.7
13,Crystal Palace,11.2,3.6,9.7,12.6
14,Leicester,11,4,7.7,10.4
15,Southampton,11,3.7,9.5,9.9
16,Wolves,10.8,3.3,10.1,10.2
17,Brentford,10.7,4.3,7,10.5
18,Nottingham Forest,9.7,3.1,6.9,10.3
19,Bournemouth,9.4,3.5,8.7,9.6
