,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Liverpool,16,5.6,10.7,8.3
1,Manchester City,15.4,5.5,12.5,9.7
2,Chelsea,14.6,5.5,9.4,9.6
3,Manchester United,13.8,5.6,10.9,10.5
4,Leeds,13.7,5.2,8.4,10.8
5,Aston Villa,13.7,4.9,9.7,14.6
6,Brighton,12.8,3.8,9.2,9.4
7,Leicester,12.8,4.9,9.4,11.1
8,West Ham,12.3,4.3,7.8,9.3
9,Arsenal,12.1,4,7.8,10.5
10,Wolves,12,4,12.2,9.9
11,Tottenham,11.7,4.6,10.6,12.3
12,Fulham,11.6,3.6,13.3,9.8
13,Southampton,11.2,4.4,9,11.1
14,Everton,10.5,3.9,9.5,10.3
15,Newcastle,10.4,3.7,9.2,11.1
16,Burnley,10.1,3.4,6.2,10.2
17,Crystal Palace,9.2,3.5,9.6,11.5
18,West Bromwich Albion,8.9,2.9,6.9,10.8
19,Sheffield United,8.5,2.6,7.1,7.7
