,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Cristiano Ronaldo,Juventus,39," M(L),FW",30(1),2689,21,8,3,-,5.7,85.1,1.1,10,7.68
1,Papu Gómez,Atalanta,36," M(CLR),FW",34(1),2913,7,11,5,-,3,84.4,0.3,7,7.64
2,Josip Ilicic,Atalanta,36," AM(CLR),FW",23(8),2151,12,7,5,1,3.3,80.2,0.2,4,7.39
3,Suso,AC Milan,30," AM(CLR),FW",35,3031,7,10,8,1,2.7,82.5,0.1,7,7.39
4,Rodrigo De Paul,Udinese,29," AM(CLR),FW",36,3194,9,8,7,-,2.4,76.4,0.1,6,7.37
5,Mario Mandzukic,Juventus,37," M(L),FW",23(2),2020,9,6,4,-,1.2,71.1,2.9,3,7.34
6,Duván Zapata,Atalanta,33, FW,32(5),2900,23,7,5,-,3.2,79,1.8,4,7.32
7,Leonardo Pavoletti,Cagliari,35, FW,31(1),2738,16,1,6,-,2.6,69,7.4,9,7.32
8,Stephan El Shaarawy,Roma,31," M(CLR),FW",23(5),2109,11,3,2,-,2.5,81.7,0.8,4,7.26
9,Fabián Ruiz,Napoli,28, M(CL),20(7),1991,5,4,2,1,1.9,89.8,0.6,2,7.25
10,Edin Dzeko,Roma,38, FW,28(5),2576,9,6,9,-,4,70.9,4,6,7.24
11,Armando Izzo,Torino,32, D(C),37,3274,4,1,6,-,0.7,77.8,3.2,6,7.24
12,Andrea Belotti,Torino,30, FW,37,3301,15,3,5,-,3.4,64.8,4.1,6,7.23
13,Dries Mertens,Napoli,36," AM(CLR),FW",23(12),2253,16,11,1,-,2.5,79,0.2,4,7.20
14,João Cancelo,Juventus,29," D(LR),M(R)",22(3),1967,1,3,6,-,1,86.2,0.9,2,7.20
15,Krzysztof Piatek,Genoa,28, FW,18(1),1594,13,-,5,-,4.1,73.2,2.3,2,7.20
16,Cristian Ansaldi,Torino,37," D(CLR),M(CLR)",23(1),1816,3,2,3,-,1.6,73.3,0.2,2,7.19
17,Lorenzo Insigne,Napoli,32," AM(CL),FW",24(4),2080,10,6,6,1,4.3,86,0.1,3,7.16
18,Domenico Criscito,Genoa,37," D(CL),M(L)",35,3071,2,4,12,1,0.9,75.7,1.3,3,7.15
19,Alex Sandro,Juventus,33," D(CL),M(L)",28(3),2392,1,2,7,-,0.7,84.6,1.8,3,7.15
20,Tiémoué Bakayoko,AC Milan,29, DMC,26(5),2301,1,1,5,1,0.8,86.6,2.4,4,7.15
21,Sergej Milinkovic-Savic,Lazio,29, AM(C),29(2),2405,5,3,7,1,2.5,79.6,3.6,2,7.15
22,Allan,Napoli,33, DMC,28(5),2614,1,3,10,-,0.8,89.6,0.4,2,7.13
23,Arkadiusz Milik,Napoli,30," AM(C),FW",27(8),2398,17,3,4,-,3.2,82.7,1.3,4,7.13
24,Aleksandar Kolarov,Roma,38," D(CL),M(L)",32(1),2906,8,2,6,1,1.3,80.6,1.2,5,7.12
25,Hakan Çalhanoglu,AC Milan,30," M(CLR),FW",34(2),2898,3,6,3,-,2.8,85.2,0.7,2,7.12
26,Robin Gosens,Atalanta,29," D(L),M(CL)",23(5),1947,3,2,2,-,0.9,78.9,1.5,2,7.11
