,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Cristiano Ronaldo,Juventus,39," M(L),FW",31(2),2803,29,3,3,-,5.1,82.1,0.7,8,7.61
1,Zlatan Ibrahimovic,AC Milan,42, FW,18(1),1498,15,2,2,1,4.3,72,4.5,8,7.57
2,Lorenzo Insigne,Napoli,32," AM(CL),FW",33(2),2872,19,7,2,1,4.1,83.7,0.1,11,7.56
3,Romelu Lukaku,Inter,30," AM(R),FW",32(4),2887,24,11,4,-,2.7,72.5,1.3,7,7.47
4,Domenico Berardi,Sassuolo,29," AM(R),FW",28(2),2485,17,7,4,-,3.8,80.5,0.4,8,7.42
5,Rodrigo De Paul,Udinese,29," AM(CLR),FW",36,3204,9,9,3,2,2.3,79.8,0.2,12,7.41
6,Henrikh Mkhitaryan,Roma,35," M(CLR),FW",30(4),2747,13,10,2,-,2.4,78.5,0.4,4,7.30
7,Sergej Milinkovic-Savic,Lazio,29, AM(C),32,2754,8,9,4,-,2,78.7,3.3,8,7.30
8,Théo Hernández,AC Milan,26," D(CL),M(L)",33,2935,7,5,9,-,1.4,83.1,1.6,2,7.28
9,Hakan Çalhanoglu,AC Milan,30," M(CLR),FW",30(3),2629,4,9,4,-,2.5,84.1,0.5,4,7.27
10,Luis Muriel,Atalanta,33," AM(CL),FW",16(20),1437,22,9,-,-,2.4,74.9,0.7,7,7.25
11,Andrea Belotti,Torino,30, FW,33(2),2895,13,6,4,-,3.1,69.5,2.4,3,7.23
12,Lorenzo Pellegrini,Roma,27, M(CL),30(4),2608,7,6,10,-,2.1,82,0.6,7,7.23
13,Junior Messias,Crotone,32," M(CR),FW",36,3217,9,4,6,-,2.7,78.5,1,3,7.22
14,Federico Chiesa,Juventus,26," M(CLR),FW",28(2),2227,8,8,3,1,2,80.4,0.2,3,7.21
15,Robin Gosens,Atalanta,29," D(L),M(CL)",30(2),2539,11,6,7,1,1.6,81.8,1.1,3,7.19
16,Lautaro Martínez,Inter,26, FW,30(8),2576,17,6,5,-,2.9,68.4,0.7,5,7.17
17,Juan Cuadrado,Juventus,35," D(R),M(CLR),FW",26(4),2180,2,10,9,1,0.6,87.7,0.4,4,7.16
18,Ruslan Malinovskyi,Atalanta,31," M(CLR),FW",22(14),1883,8,12,3,-,1.9,80.1,0.8,4,7.16
19,Piotr Zielinski,Napoli,29, M(CLR),32(4),2548,8,10,2,-,1.7,85.9,0.1,-,7.16
20,Ciro Immobile,Lazio,34, FW,34(1),2866,20,6,3,1,3.4,74,0.8,6,7.15
21,Franck Kessié,AC Milan,27, M(C),36(1),3230,13,4,8,-,1.3,88.9,1.5,2,7.15
22,Cristian Romero,Atalanta,26, D(C),29(2),2549,2,2,10,-,0.5,86.2,3.6,2,7.14
