,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Cristiano Ronaldo,Juventus,39," M(L),FW",33,2919,31,5,3,-,6.3,85.1,1.2,10,7.82
1,Josip Ilicic,Atalanta,36," AM(CLR),FW",21(5),1673,15,5,1,1,3.1,81.9,0.1,7,7.65
2,Ciro Immobile,Lazio,34, FW,36(1),3176,36,9,8,-,3.8,77,0.6,10,7.57
3,Luis Alberto,Lazio,31," AM(CL),FW",36,3122,6,15,5,-,2.7,83.5,0.3,10,7.55
4,Papu Gómez,Atalanta,36," M(CLR),FW",34(2),2861,7,16,2,-,2.6,85.3,0.1,3,7.55
5,Zlatan Ibrahimovic,AC Milan,42, FW,16(2),1365,10,5,1,-,3.7,70.9,4.4,4,7.51
6,Edin Dzeko,Roma,38, FW,31(4),2884,16,7,4,-,3.5,69.9,3.7,5,7.48
7,Domenico Berardi,Sassuolo,29," AM(R),FW",29(2),2505,14,10,6,1,3.9,78.4,0.6,5,7.45
8,Paulo Dybala,Juventus,30," AM(CR),FW",25(8),2165,11,6,5,-,3,88.1,0.1,3,7.44
9,Duván Zapata,Atalanta,33, FW,25(3),2038,18,6,1,-,3.2,79.6,1.9,4,7.41
10,Romelu Lukaku,Inter,30," AM(R),FW",33(3),2984,23,2,2,-,2.8,70.7,2.6,4,7.30
11,Musa Barrow,Bologna,25," AM(CL),FW",14(4),1354,9,2,1,-,3.6,78.2,0.7,3,7.28
12,Sergej Milinkovic-Savic,Lazio,29, AM(C),35(2),3038,7,4,9,-,2.4,77.2,3.5,5,7.27
13,Rodrigo De Paul,Udinese,29," AM(CLR),FW",33(1),2828,7,6,5,1,2.5,82,-,8,7.25
14,Robin Gosens,Atalanta,29," D(L),M(CL)",31(3),2628,9,8,3,-,1.5,78.4,1.5,-,7.22
15,Radja Nainggolan,Cagliari,36, M(C),25(1),2082,6,7,5,-,2.5,79.8,0.7,4,7.21
16,Théo Hernández,AC Milan,26," D(CL),M(L)",32(1),2819,6,3,10,-,1.5,84.3,1.4,3,7.19
17,Hakan Çalhanoglu,AC Milan,30," M(CLR),FW",34(1),2719,9,9,6,-,2.9,84,0.8,4,7.19
18,Jérémie Boga,Sassuolo,27," AM(CLR),FW",28(6),2525,11,2,-,-,1.7,86.8,0.1,3,7.17
