Name,Position,Date of Birth,Age,Nationality,Market Value
Matz Sels,Goalkeeper,"Feb 26, 1992",31,Belgium,€7.00m
Eiji Kawashima,Goalkeeper,"Mar 20, 1983",40,Japan,€150k
Robin Risser,Goalkeeper,"Dec 2, 2004",18,France,€150k
Alexandre Pierre,Goalkeeper,"Feb 25, 2001",22,Haiti,€100k
Alexander Djiku,Centre-Back,"Aug 9, 1994",28,Ghana,€8.00m
Ismaël Doukouré,Centre-Back,"Jul 24, 2003",19,France,€6.00m
Gerzino Nyamsi,Centre-Back,"Jan 22, 1997",26,France,€5.00m
Lucas Perrin,Centre-Back,"Nov 19, 1998",24,France,€3.00m
Maxime Le Marchand,Centre-Back,"Oct 11, 1989",33,France,€1.00m
Franci Bouebari,Centre-Back,"Sep 12, 2003",19,France,€250k
Eduard Sobol,Left-Back,"Apr 20, 1995",28,Ukraine,€2.50m
Thomas Delaine,Left-Back,"Mar 24, 1992",31,France,€1.20m
Anas Nanah,Left-Back,"Mar 12, 2003",20,Morocco,€50k
Colin Dagba,Right-Back,"Sep 9, 1998",24,France,€4.50m
Frédéric Guilbert,Right-Back,"Dec 24, 1994",28,France,€4.50m
Ronaël Pierre-Gabriel,Right-Back,"Jun 13, 1998",25,France,€3.50m
Karol Fila,Right-Back,"Jun 13, 1998",25,Poland,€900k
Marvin Senaya,Right-Back,"Jan 28, 2001",22,France,€900k
Antoine Nuss,Right-Back,"Dec 19, 2003",19,France,€100k
Ibrahima Sissoko,Defensive Midfield,"Oct 27, 1997",25,Mali,€6.00m
Jean-Eudes Aholou,Defensive Midfield,"Mar 20, 1994",29,Cote d'Ivoire,€2.50m
Jean-Ricner Bellegarde,Central Midfield,"Jun 27, 1998",25,France,€10.00m
Morgan Sanson,Central Midfield,"Aug 18, 1994",28,France,€6.00m
Sanjin Prcic,Central Midfield,"Nov 20, 1993",29,Bosnia-Herzegovina,€3.00m
Dimitri Liénard,Left Midfield,"Feb 13, 1988",35,France,€500k
Habib Diarra,Attacking Midfield,"Jan 3, 2004",19,Senegal,€10.00m
Adrien Thomasson,Attacking Midfield,"Dec 10, 1993",29,France,€6.00m
Nordine Kandil,Attacking Midfield,"Oct 31, 2001",21,Morocco,€400k
Jordan Robinand,Attacking Midfield,"Sep 16, 2003",19,France,€50k
Dany Jean,Left Winger,"Nov 28, 2002",20,Haiti,€150k
Tom Saettel,Left Winger,"Jun 19, 2005",18,France,€150k
Habib Diallo,Centre-Forward,"Jun 18, 1995",28,Senegal,€18.00m
Ludovic Ajorque,Centre-Forward,"Feb 25, 1994",29,France,€9.00m
Kévin Gameiro,Centre-Forward,"May 9, 1987",36,France,€1.20m
Lebo Mothiba,Centre-Forward,"Jan 28, 1996",27,South Africa,€1.20m
Yuito Suzuki,Centre-Forward,"Oct 25, 2001",21,Japan,€600k
